ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_card,foul_committed_offensive,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,9a150ae6-b2c1-4f0d-8613-ba499e61965e,1,,,69208,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Germany Women's,857,,0,,,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 10257, 'name': 'Almuth Schult'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 25492, 'name': 'Giulia Gwinn'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 15}, {'player': {'id': 10261, 'name': 'Sara Doorsoun-Khajeh'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 23}, {'player': {'id': 25491, 'name': 'Marina Hegering'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 5}, {'player': {'id': 10376, 'name': 'Carolin Simon'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 2}, {'player': {'id': 10374, 'name': 'Svenja Huth'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 9}, {'player': {'id': 15178, 'name': 'Alexandra Popp'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 11}, {'player': {'id': 10263, 'name': 'Sara Däbritz'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 13}, {'player': {'id': 10258, 'name': 'Linda Dallmann'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 16}, {'player': {'id': 25476, 'name': 'Lea Schüller'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 7}, {'player': {'id': 10259, 'name': 'Lina Magull'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 20}]}",Germany Women's,857,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,19b56a04-0b29-4b76-ba01-063a9c202153,2,,,69208,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Germany Women's,857,,0,,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 4640, 'name': 'Rut Hedvig Lindahl'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 24693, 'name': 'Hanna Erica Maria Glas'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 4}, {'player': {'id': 10375, 'name': 'Nilla Fischer'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 5}, {'player': {'id': 10230, 'name': 'Linda Brigitta Sembrant'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 3}, {'player': {'id': 4633, 'name': 'Magdalena Lilly Eriksson'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 6}, {'player': {'id': 10221, 'name': 'Elin Ingrid Johanna Rubensson'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 23}, {'player': {'id': 10224, 'name': 'Sara Caroline Seger'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 17}, {'player': {'id': 13881, 'name': 'Eva Sofia Jakobsson'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 10}, {'player': {'id': 10220, 'name': 'Kosovare Asllani'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 9}, {'player': {'id': 10215, 'name': 'Fridolina Rolfö'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 18}, {'player': {'id': 10229, 'name': 'Emma Stina Blackstenius'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 11}]}",Sweden Women's,858,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,dad56a00-5891-4723-a287-bf534a471529,3,,,69208,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Germany Women's,857,['9e5b1cbc-a0c4-487b-824b-658e5acf60b2'],0,,,,,,,,,,,,,,,,,,Germany Women's,857,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,9e5b1cbc-a0c4-487b-824b-658e5acf60b2,4,,,69208,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Germany Women's,857,['dad56a00-5891-4723-a287-bf534a471529'],0,,,,,,,,,,,,,,,,,,Sweden Women's,858,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,4aa4d830-7923-4b38-92e5-e7524d3352b1,1794,,,69208,45,,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,78,Germany Women's,857,['df1ece7d-af30-41f5-8b18-6de494e10516'],0,,,,,,,,,,,,,,,,,,Sweden Women's,858,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,df1ece7d-af30-41f5-8b18-6de494e10516,1795,,,69208,45,,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,78,Germany Women's,857,['4aa4d830-7923-4b38-92e5-e7524d3352b1'],0,,,,,,,,,,,,,,,,,,Germany Women's,857,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,1.002001,,,,,,,,,,,957fa1fe-81c1-4f75-8ffc-cba32320a2f2,5,,"[61.0, 40.1]",69208,0,,,,,2.8215573,,Right Foot,,,"[43.5, 45.9]",,Ground Pass,,18.436106,,,,,Alexandra Popp,15178.0,,,,,,Kick Off,1,From Kick Off,Lea Schüller,25476.0,Right Center Forward,2,Germany Women's,857,['7bfc30c1-4419-43c3-8d79-89746c34a0b8'],0,,,,,,,,,,,,,,,,,,Germany Women's,857,00:00:00.380,Pass,
,,,,,,,,,,,,,,,,1.701734,,,,,,,,,,,68efce3e-e8d2-4c34-aa68-f04b6e4bcd84,8,,"[43.3, 45.9]",69208,0,,,,,-1.8215055,,Left Foot,,,"[37.0, 21.3]",,Ground Pass,,25.393896,,,,,Marina Hegering,25491.0,,,,,,,1,From Kick Off,Alexandra Popp,15178.0,Right Center Midfield,2,Germany Women's,857,['ebff7eb0-1265-4f3e-99c8-0d63d09add13'],2,,,,,,,,,,,,,,,,,,Germany Women's,857,00:00:02.561,Pass,
,,,,,,,,,,,,,,,,0.8694,,,,,,,,,,,363e82c1-217c-4789-8357-7fbe4e1d3252,12,,"[43.9, 12.9]",69208,0,,,,,-1.0758001,,Right Foot,,,"[50.0, 1.6]",,Ground Pass,,12.841339,,,,,Carolin Simon,10376.0,,,,,,,1,From Kick Off,Marina Hegering,25491.0,Left Center Back,2,Germany Women's,857,['2fd6810c-1afd-4bf0-878a-f35e5dbafefe'],6,,,,,,,,,,,,,,,,,,Germany Women's,857,00:00:06.930,Pass,
,,,,,,,,,,,,,,,,2.443,,,,,,,,,,,d657379f-07e4-4b43-9247-b89bcf9f4278,15,,"[50.0, 2.2]",69208,0,,,,,2.7452917,,Left Foot,,,"[35.9, 8.1]",,Ground Pass,,15.284633,,,,,Marina Hegering,25491.0,,,,,,,1,From Kick Off,Carolin Simon,10376.0,Left Back,2,Germany Women's,857,['d64dfb8c-c338-4a82-a6e1-7e258f358628'],7,,,,,,,,,,,,,,,,,,Germany Women's,857,00:00:07.879,Pass,
