50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,half_start_late_video_start,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,18731f4f-fd94-485f-a9dc-e8503f839f1c,1,,,22943,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,United States Women's,1214,,0,,,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 5100, 'name': 'Alyssa Michele Naeher'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 5021, 'name': ""Kelley Maureen O'Hara""}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 5}, {'player': {'id': 5081, 'name': 'Abby Dahlkemper'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 7}, {'player': {'id': 6811, 'name': 'Julie Beth Ertz'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 8}, {'player': {'id': 5088, 'name': 'Crystal Alyssia Dunn Soubrier'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 19}, {'player': {'id': 4999, 'name': 'Lindsey Michelle Horan'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 9}, {'player': {'id': 4949, 'name': 'Rosemary Kathleen Lavelle'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 16}, {'player': {'id': 5087, 'name': 'Samantha June Mewis'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 3}, {'player': {'id': 5013, 'name': 'Tobin Powell Heath'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 17}, {'player': {'id': 8298, 'name': 'Megan Anna Rapinoe'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 15}, {'player': {'id': 5085, 'name': 'Alexandra Morgan Carrasco'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 13}]}",United States Women's,1214,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,4672335e-4afe-488a-8759-c4fb6a5139c4,2,,,22943,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,United States Women's,1214,,0,,,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 25674, 'name': 'Sukanya Chor Charoenying'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 18}, {'player': {'id': 25681, 'name': 'Warunee Phetwiset'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 9}, {'player': {'id': 25680, 'name': 'Natthakarn Chinwong'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 3}, {'player': {'id': 25671, 'name': 'Kanjanaporn Saengkoon'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 2}, {'player': {'id': 25675, 'name': 'Sunisa Srangthaisong'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 10}, {'player': {'id': 25677, 'name': 'Wilaiporn Boothduang'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 20}, {'player': {'id': 25679, 'name': 'Ainon Phancha'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 5}, {'player': {'id': 25672, 'name': 'Kanjana Sungngoen'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 21}, {'player': {'id': 25676, 'name': 'Silawan Intamee'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 7}, {'player': {'id': 25678, 'name': 'Rattikan Thongsombut'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 12}, {'player': {'id': 25673, 'name': 'Suchawadee Nildhamrong'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 8}]}",Thailand Women's,1107,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,2a39d062-5324-4edd-8252-8d2a4b7ff56c,3,,,22943,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,United States Women's,1214,['35738411-4626-4f16-ac35-a7082d3047bf'],0,,,,,,,,,,,,,,,,,,,United States Women's,1214,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,35738411-4626-4f16-ac35-a7082d3047bf,4,,,22943,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,United States Women's,1214,['2a39d062-5324-4edd-8252-8d2a4b7ff56c'],0,,,,,,,,,,,,,,,,,,,Thailand Women's,1107,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,True,d237ae51-3d3b-47d1-987e-be5c98f74eb6,1752,,,22943,45,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,97,Thailand Women's,1107,['78230448-9a4e-4d83-ab15-3d5d91d6b025'],0,,,,,,,,,,,,,,,,,,,United States Women's,1214,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,True,78230448-9a4e-4d83-ab15-3d5d91d6b025,1753,,,22943,45,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,97,Thailand Women's,1107,['d237ae51-3d3b-47d1-987e-be5c98f74eb6'],0,,,,,,,,,,,,,,,,,,,Thailand Women's,1107,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,1.776207,,,,,,,,,,,,,b56fd1e7-1733-4fa0-9b0e-7b3bbe3e4f37,5,,"[60.0, 40.0]",22943,0,,,,-2.9790192,,Right Foot,,,"[41.1, 36.9]",,Ground Pass,,19.152546,,,Abby Dahlkemper,5081.0,,,,,,Kick Off,1,From Kick Off,Lindsey Michelle Horan,4999.0,Center Defensive Midfield,2,United States Women's,1214,['5a5301e8-43dc-4c79-897f-62c08df56238'],0,,,,,,,,,,,,,,,,,,,United States Women's,1214,00:00:00.753,Pass,
,,,,,,,,,,,,,,,,,2.794943,,,,,,,,,,,,,d53f7907-0ca5-49ca-969d-4e1090b8c103,8,,"[54.3, 42.6]",22943,0,,,,-0.48689923,,Right Foot,,,"[96.8, 20.1]",,High Pass,,48.08846,,,Samantha June Mewis,5087.0,,,,,,,1,From Kick Off,Abby Dahlkemper,5081.0,Right Center Back,2,United States Women's,1214,['2971607c-19d2-4237-8fb0-1518fbfcb67a'],5,,,,,,,,,,,,,,,,,,,United States Women's,1214,00:00:05.742,Pass,
,,,,,,,,,,,,,,,,,0.865448,,,,,,,,,,,,,ba5e4ad0-f0f1-4e07-a86a-35e4c603857d,10,,"[96.8, 20.1]",22943,0,,,True,0.8474652,,,,,"[105.1, 29.5]",,Low Pass,,12.539936,Incomplete,,,,,,,,,,1,From Kick Off,Samantha June Mewis,5087.0,Left Center Midfield,2,United States Women's,1214,"['45ac6b66-7699-46d7-ab36-b84e7582044d', '683deea2-901a-49cb-a70f-e7042d40c662']",8,,,,,,,,,,,,,,,,,,,United States Women's,1214,00:00:08.577,Pass,True
,,,,,,,,,,,,,,,,,1.847658,,,,,,,,,,,,,36c6f93e-83a4-4658-ada6-ac7e8c1f9349,15,,"[57.0, 80.0]",22943,0,,,,-2.4733033,,,,,"[38.0, 65.0]",,Low Pass,,24.207438,,,Abby Dahlkemper,5081.0,,,,,,Throw-in,1,From Throw In,Kelley Maureen O'Hara,5021.0,Right Back,3,United States Women's,1214,['1ea53f84-6089-4fc0-94cd-fe9c33c03f1d'],19,,,,,,,,,,,,,,,,,,,United States Women's,1214,00:00:19.766,Pass,
