50_50,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,1d2d6de5-95a1-41cb-a225-39c5d4de1906,1,,,,3906389,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Sweden Women's,858,,0,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 62713, 'name': 'Zecira Musovic'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 26093, 'name': 'Gun Nathalie Björn'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 14}, {'player': {'id': 26092, 'name': 'Amanda Ilestedt'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 13}, {'player': {'id': 4633, 'name': 'Magdalena Lilly Eriksson'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 6}, {'player': {'id': 10222, 'name': 'Jonna Ann-Charlotte Andersson'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 2}, {'player': {'id': 62666, 'name': 'Ingrid Filippa Angeldal'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 16}, {'player': {'id': 10221, 'name': 'Elin Ingrid Johanna Rubensson'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 23}, {'player': {'id': 62710, 'name': 'Johanna Rytting-Kaneryd'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 19}, {'player': {'id': 10220, 'name': 'Kosovare Asllani'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 9}, {'player': {'id': 10215, 'name': 'Fridolina Rolfö'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 18}, {'player': {'id': 10229, 'name': 'Emma Stina Blackstenius'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 11}]}",Sweden Women's,858,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,f26a4b87-4a5c-4486-9bf0-03e814d36213,2,,,,3906389,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Sweden Women's,858,,0,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 42787, 'name': 'Mackenzie Arnold'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 18}, {'player': {'id': 5095, 'name': 'Ellie Madison Carpenter'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 21}, {'player': {'id': 401635, 'name': 'Clare Hunt'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 15}, {'player': {'id': 8382, 'name': 'Clare Elizabeth Polkinghorne'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 4}, {'player': {'id': 5000, 'name': 'Stephanie-Elise Catley'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 7}, {'player': {'id': 4979, 'name': 'Katrina Gorry'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 19}, {'player': {'id': 131586, 'name': 'Kyra Lillee Cooney-Cross'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 23}, {'player': {'id': 6818, 'name': 'Hayley Emma Raso'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 16}, {'player': {'id': 35693, 'name': 'Mary Boio Fowler'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 11}, {'player': {'id': 11338, 'name': 'Caitlin Jade Foord'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 9}, {'player': {'id': 4961, 'name': 'Samantha May Kerr'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 20}]}",Australia Women's,1205,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,b03129f2-8daa-443f-a455-97236e9b108d,3,,,,3906389,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Sweden Women's,858,['4751f93e-64fe-4a0b-8523-11c0f1915e7a'],0,,,,,,,,,,,,,,,,,Australia Women's,1205,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,4751f93e-64fe-4a0b-8523-11c0f1915e7a,4,,,,3906389,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Sweden Women's,858,['b03129f2-8daa-443f-a455-97236e9b108d'],0,,,,,,,,,,,,,,,,,Sweden Women's,858,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,4eb861c6-54f8-448c-99f3-c40e9c04a8b3,1699,,,,3906389,45,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,89,Australia Women's,1205,['8a554126-c58d-46c4-97b2-08f3b6bf0108'],0,,,,,,,,,,,,,,,,,Australia Women's,1205,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,8a554126-c58d-46c4-97b2-08f3b6bf0108,1700,,,,3906389,45,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,89,Australia Women's,1205,['4eb861c6-54f8-448c-99f3-c40e9c04a8b3'],0,,,,,,,,,,,,,,,,,Sweden Women's,858,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,1.04042,,,,,,,,,,,,,,,7a22be91-348f-4062-a834-16e7c301bb63,5,,,"[60.0, 40.0]",3906389,0,,,,-2.9648838,,Right Foot,,,,"[43.2, 37.0]",,Ground Pass,,17.065756,,Ingrid Filippa Angeldal,62666.0,,,,,,Kick Off,1,From Kick Off,Emma Stina Blackstenius,10229.0,Center Forward,2,Sweden Women's,858,['ea9510b4-71dd-417b-bd21-874b4f1ade23'],0,,,,,,,,,,,,,,,,,Sweden Women's,858,00:00:00.534,Pass,
,,,,,,,,,,,,,,,,,1.657562,,,,,,,,,,,,,,,ab7e8cc1-951b-4f70-a121-a4bb0e964479,8,,,"[44.9, 33.9]",3906389,0,,,,-1.5707964,,Right Foot,,,,"[44.9, 7.8]",,Ground Pass,,26.1,,Magdalena Lilly Eriksson,4633.0,,,,,,,1,From Kick Off,Ingrid Filippa Angeldal,62666.0,Right Defensive Midfield,2,Sweden Women's,858,['02184632-50f7-4241-93ba-5ed03b744476'],2,,,,,,,,,,,,,,,,,Sweden Women's,858,00:00:02.500,Pass,
,,,,,,,,,,,,,,,,,2.200922,,,,,,,,,,,,,,,5d09f71f-43ec-4ff1-b125-749424c23d0d,11,,,"[44.3, 6.2]",3906389,0,,,,-0.025635408,,Left Foot,,,,"[91.1, 5.0]",,High Pass,,46.815384,Incomplete,Fridolina Rolfö,10215.0,,,,,,,1,From Kick Off,Magdalena Lilly Eriksson,4633.0,Left Center Back,2,Sweden Women's,858,"['0529e105-93d6-4c9c-a654-c29983ed5707', '204ba34b-1001-4737-b636-0269f4d011b8']",5,,,,,,,,,,,,,,,,,Sweden Women's,858,00:00:05.732,Pass,
,,,,,,,,,,,,,,,,,0.846865,,,,,,,,,,,,,,,d5e75d86-e6f5-4edc-abde-b402ef99da6b,14,,,"[93.2, 0.1]",3906389,0,,,,1.25353,,,,,,"[95.4, 6.8]",,Low Pass,,7.05195,,Kosovare Asllani,10220.0,,,,,,Throw-in,1,From Throw In,Jonna Ann-Charlotte Andersson,10222.0,Left Back,3,Sweden Women's,858,['e994d617-c9d8-4517-b7c5-3b8659f8154a'],14,,,,,,,,,,,,,,,,,Sweden Women's,858,00:00:14.803,Pass,
