50_50,ball_receipt_outcome,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_no_touch,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,2b6eaf50-9396-4f0a-95f1-1aad9afa84f5,1,,,,3878598,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Palermo,2256,,0,,,,,,,,,,,,,,,"{'formation': 3511, 'lineup': [{'player': {'id': 7055, 'name': 'Stefano Sorrentino'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 70}, {'player': {'id': 30928, 'name': 'Roberto Vitiello'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 2}, {'player': {'id': 5584, 'name': 'Giancarlo González Castro'}, 'position': {'id': 4, 'name': 'Center Back'}, 'jersey_number': 12}, {'player': {'id': 23329, 'name': 'Abdelhamid El Kaoutari'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 34}, {'player': {'id': 30769, 'name': 'Andrea Rispoli'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'jersey_number': 3}, {'player': {'id': 10032, 'name': 'Achraf Lazaar'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'jersey_number': 7}, {'player': {'id': 30735, 'name': 'Mato Jajalo'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 28}, {'player': {'id': 5605, 'name': 'Oscar Hiljemark'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 10}, {'player': {'id': 8552, 'name': 'Robin Quaison'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 21}, {'player': {'id': 6719, 'name': 'Franco Damián Vázquez'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 20}, {'player': {'id': 38389, 'name': 'Alberto Gilardino'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 11}]}",Palermo,2256,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,b2941f13-56c9-4cd0-98ed-b4f155878568,2,,,,3878598,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Palermo,2256,,0,,,,,,,,,,,,,,,"{'formation': 3511, 'lineup': [{'player': {'id': 387477, 'name': 'Francesco Benussi'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 22}, {'player': {'id': 387300, 'name': 'Cristian Zaccardo'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 5}, {'player': {'id': 387474, 'name': 'Igor Bubnjić'}, 'position': {'id': 4, 'name': 'Center Back'}, 'jersey_number': 18}, {'player': {'id': 11499, 'name': 'Riccardo Gagliolo'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 6}, {'player': {'id': 7114, 'name': 'Gaetano Letizia'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'jersey_number': 3}, {'player': {'id': 3416, 'name': 'Gabriel Moisés Antunes da Silva'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'jersey_number': 34}, {'player': {'id': 352172, 'name': 'Raffaele Bianco'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 30829, 'name': 'Lorenzo Lollo'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 20}, {'player': {'id': 28442, 'name': 'Matteo Fedele'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 58}, {'player': {'id': 7696, 'name': 'Ryder Matos Santos'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 7}, {'player': {'id': 32608, 'name': 'Jerry Uche Mbakogu'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 99}]}",Carpi,1683,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,a3b4bc17-e0d3-4e30-bdf2-49aac777e29a,3,,,,3878598,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Palermo,2256,['0b80e351-df0b-4e84-8938-f4a6f0281bfe'],0,,,,,,,,,,,,,,,,Palermo,2256,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,0b80e351-df0b-4e84-8938-f4a6f0281bfe,4,,,,3878598,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Palermo,2256,['a3b4bc17-e0d3-4e30-bdf2-49aac777e29a'],0,,,,,,,,,,,,,,,,Carpi,1683,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,758f56c5-1ceb-481e-80a9-80748e1c359a,1577,,,,3878598,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Corner,,,,97,Carpi,1683,['50b5a787-f2d7-44ad-a598-da8f53230268'],0,,,,,,,,,,,,,,,,Palermo,2256,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,50b5a787-f2d7-44ad-a598-da8f53230268,1578,,,,3878598,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Corner,,,,97,Carpi,1683,['758f56c5-1ceb-481e-80a9-80748e1c359a'],0,,,,,,,,,,,,,,,,Carpi,1683,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.477641,,,,,,,,,,,dd4bdf47-26f3-490f-9cf6-0600358d16c8,5,,,"[61.0, 40.1]",3878598,0,,,,2.4980915,,Right Foot,,,"[57.4, 42.8]",,Ground Pass,,4.5,,,,Franco Damián Vázquez,6719.0,,,,,,Kick Off,1,From Kick Off,Alberto Gilardino,38389.0,Center Forward,2,Palermo,2256,['de3a97ec-48a2-4477-b4b4-291b2d0333d0'],0,,,,,,,,,,,,,,,,Palermo,2256,00:00:00.398,Pass,
,,,,,,,,,,,,,,,,1.889731,,,,,,,,,,,c2896efe-0479-4d2d-849a-fb944e09f5be,8,,,"[58.0, 41.2]",3878598,0,,,,3.1118617,,Right Foot,,,"[31.1, 42.0]",,Ground Pass,,26.911894,,,,Giancarlo González Castro,5584.0,,,,,,,1,From Kick Off,Franco Damián Vázquez,6719.0,Center Attacking Midfield,2,Palermo,2256,['a04ff510-bff8-4a1e-9cc7-c0eea5321590'],1,,,,,,,,,,,,,,,,Palermo,2256,00:00:01.219,Pass,
,,,,,,,,,,,,,,,,3.084783,,,,,,,,,,,bf96fd09-3b47-43ef-a4ec-fce23c1dd1bf,11,,,"[32.2, 47.9]",3878598,0,,,,0.36105615,,Right Foot,,,"[84.9, 67.8]",,High Pass,,56.33205,,,,Oscar Hiljemark,5605.0,,,,,,,1,From Kick Off,Giancarlo González Castro,5584.0,Center Back,2,Palermo,2256,['56d33be4-4df4-43fe-9786-27516d98ecb9'],4,,,,,,,,,,,,,,,,Palermo,2256,00:00:04.560,Pass,
,,,,,,,,,,,,,,,,2.026709,,,,,,,,,,,648dbf82-1c97-4494-99bf-54c17b8d544a,13,,,"[85.1, 67.8]",3878598,0,,,True,-0.34581593,,,,,"[98.7, 62.9]",,High Pass,,14.455794,,Incomplete,,Alberto Gilardino,38389.0,,,,,,,1,From Kick Off,Oscar Hiljemark,5605.0,Right Center Midfield,2,Palermo,2256,"['a80c9acf-541e-4bc7-b090-ea537826e9fa', 'c9a4b3ce-1a6e-4e68-b5bd-93c89857e19c', 'df037584-9a03-4a4d-8322-fe5eec94e5a2']",7,,,,,,,,,,,,,,,,Palermo,2256,00:00:07.645,Pass,True
