50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,33170fea-d42f-4113-8846-39238cf16d6f,1,,,3879850,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Juventus,224,,0,,,,,,,,,,,,,,,,,"{'formation': 352, 'lineup': [{'player': {'id': 6949, 'name': 'Gianluigi Buffon'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 6953, 'name': 'Daniele Rugani'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 24}, {'player': {'id': 7173, 'name': 'Leonardo Bonucci'}, 'position': {'id': 4, 'name': 'Center Back'}, 'jersey_number': 19}, {'player': {'id': 20008, 'name': 'Patrice Evra'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 33}, {'player': {'id': 5689, 'name': 'Juan Guillermo Cuadrado Bello'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'jersey_number': 16}, {'player': {'id': 6945, 'name': 'Alex Sandro Lobo Silva'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'jersey_number': 12}, {'player': {'id': 25345, 'name': 'Anderson Hernanes de Carvalho Andrade'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 11}, {'player': {'id': 20004, 'name': 'Paul Pogba'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 10}, {'player': {'id': 6940, 'name': 'Kwadwo Asamoah'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 22}, {'player': {'id': 5472, 'name': 'Mario Mandžukić'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 17}, {'player': {'id': 3477, 'name': 'Álvaro Borja Morata Martín'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 9}]}",Juventus,224,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,49f8a6ce-30cf-40c1-aa9e-6c2239d31da9,2,,,3879850,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Juventus,224,,0,,,,,,,,,,,,,,,,,"{'formation': 3511, 'lineup': [{'player': {'id': 8662, 'name': 'Vid Belec'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 27}, {'player': {'id': 387300, 'name': 'Cristian Zaccardo'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 5}, {'player': {'id': 7172, 'name': 'Simone Romagnoli'}, 'position': {'id': 4, 'name': 'Center Back'}, 'jersey_number': 21}, {'player': {'id': 45508, 'name': 'Emanuele Suagher'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 23}, {'player': {'id': 30750, 'name': 'Stefano Sabelli'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'jersey_number': 2}, {'player': {'id': 11499, 'name': 'Riccardo Gagliolo'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'jersey_number': 6}, {'player': {'id': 7460, 'name': 'Isaac Cofie'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 4}, {'player': {'id': 31273, 'name': 'Marco Crimi'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 17}, {'player': {'id': 387476, 'name': 'Raphael Martinho Alves de Lima'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 29}, {'player': {'id': 7170, 'name': 'Simone Verdi'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 10}, {'player': {'id': 32608, 'name': 'Jerry Uche Mbakogu'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 99}]}",Carpi,1683,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,e2966b21-29cf-40b8-b38b-842fec1e82c2,3,,,3879850,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Juventus,224,['23578c06-ce41-423a-9ba4-9341d19d3709'],0,,,,,,,,,,,,,,,,,,Juventus,224,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,23578c06-ce41-423a-9ba4-9341d19d3709,4,,,3879850,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Juventus,224,['e2966b21-29cf-40b8-b38b-842fec1e82c2'],0,,,,,,,,,,,,,,,,,,Carpi,1683,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,3530e896-415b-4e79-ad9a-0dd0e92bd317,1928,,,3879850,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,88,Juventus,224,['904aff52-a9c6-4566-9f0b-340d9a198e20'],0,,,,,,,,,,,,,,,,,,Carpi,1683,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,904aff52-a9c6-4566-9f0b-340d9a198e20,1929,,,3879850,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,88,Juventus,224,['3530e896-415b-4e79-ad9a-0dd0e92bd317'],0,,,,,,,,,,,,,,,,,,Juventus,224,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,,0.334785,,,,,,,,,,,,,fd7710b9-1604-4feb-a0ad-0b44e867eded,5,,"[60.0, 40.0]",3879850,0,,True,,,-1.4711276,,Right Foot,,,"[60.1, 39.0]",,Ground Pass,,1.0049876,,,,,Kwadwo Asamoah,6940.0,,,,,Kick Off,1,From Kick Off,Álvaro Borja Morata Martín,3477.0,Left Center Forward,2,Juventus,224,['4b875648-75a5-41ef-93fe-0f3ade6d2245'],1,,,,,,,,,,,,,,,,,,Juventus,224,00:00:01.012,Pass,
,,,,,,,,,,,,,,,,,,,1.79199,,,,,,,,,,,,,11290887-845d-4dcd-84a2-d85bd088c0ca,7,,"[60.1, 39.0]",3879850,0,,,,,2.809379,,Left Foot,,,"[40.1, 45.9]",,Ground Pass,,21.156796,,,,,Daniele Rugani,6953.0,,,,,,1,From Kick Off,Kwadwo Asamoah,6940.0,Left Center Midfield,2,Juventus,224,['452a7339-8c49-4d89-8860-fa38939d0d17'],1,,,,,,,,,,,,,,,,,,Juventus,224,00:00:01.821,Pass,
,,,,,,,,,,,,,,,,,,,0.913607,,,,,,,,,,,,,a941f240-6476-4a14-a068-3ae29647d7af,9,,"[40.1, 45.9]",3879850,0,,,,,-2.177784,,Left Foot,,,"[37.6, 42.3]",,Ground Pass,,4.382921,,,,,Leonardo Bonucci,7173.0,,,,,,1,From Kick Off,Daniele Rugani,6953.0,Right Center Back,2,Juventus,224,['5266aef5-d3fc-4f97-bb17-8f6cb54ab0b7'],3,,,,,,,,,,,,,,,,,,Juventus,224,00:00:03.613,Pass,
,,,,,,,,,,,,,,,,,,,2.944599,,,,,,,,,,,,,1e07009d-78c6-4504-af76-802e725e87a5,13,,"[47.5, 68.6]",3879850,0,,,,,-1.5875813,,Left Foot,,,"[46.8, 26.9]",,Ground Pass,,41.705875,,,,,Patrice Evra,20008.0,,True,,,,1,From Kick Off,Leonardo Bonucci,7173.0,Center Back,2,Juventus,224,['74a77a1c-adc1-47df-957d-36ba93cb8d6b'],11,,,,,,,,,,,,,,,,,,Juventus,224,00:00:11.236,Pass,
