ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,9a93302d-7142-42ca-afc5-e970801d1e44,1,,,,3878543,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Inter Milan,238,,0,,,,,,,,,,,,,,,"{'formation': 41212, 'lineup': [{'player': {'id': 7001, 'name': 'Samir Handanovič'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 6999, 'name': 'Davide Santon'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 21}, {'player': {'id': 5551, 'name': 'João Miranda de Souza Filho'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 25}, {'player': {'id': 6585, 'name': 'Jeison Fabián Murillo Cerón'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 24}, {'player': {'id': 6969, 'name': 'Juan Guilherme Nunes Jesus'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 5}, {'player': {'id': 40348, 'name': 'Assane Demoya Gnoukouri'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 27}, {'player': {'id': 16453, 'name': 'Gary Alexis Medel Soto'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 17}, {'player': {'id': 6589, 'name': 'Geoffrey Kondogbia'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 7}, {'player': {'id': 5469, 'name': 'Marcelo Brozović'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 77}, {'player': {'id': 7165, 'name': 'Rodrigo Sebastián Palacio'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 8}, {'player': {'id': 6987, 'name': 'Mauro Emanuel Icardi Rivero'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 9}]}",Inter Milan,238,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,243674f1-2a35-42f2-8049-d9356a3cbd7e,2,,,,3878543,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Inter Milan,238,,0,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 7157, 'name': 'Marco Sportiello'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 57}, {'player': {'id': 6992, 'name': 'Andrea Masiello'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 5}, {'player': {'id': 40426, 'name': 'Guglielmo Stendardo'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 2}, {'player': {'id': 45590, 'name': 'Nicolò Cherubin'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 33}, {'player': {'id': 11722, 'name': 'Boukary Dramé'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 93}, {'player': {'id': 6994, 'name': 'Marten de Roon'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 15}, {'player': {'id': 35923, 'name': 'Carlos Emilio Carmona Tello'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 17}, {'player': {'id': 6941, 'name': 'Jasmin Kurtič'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 27}, {'player': {'id': 12759, 'name': 'Maximiliano Nicol Moralez'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 11}, {'player': {'id': 7006, 'name': 'Alejandro Darío Gómez'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 10}, {'player': {'id': 49439, 'name': 'Germán Gustavo Denis'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 19}]}",Atalanta,228,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,873e723d-09a1-4670-bb26-6787153ced14,3,,,,3878543,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Inter Milan,238,['25d5be89-685f-41ba-adb0-557e2b24357b'],0,,,,,,,,,,,,,,,,Inter Milan,238,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,25d5be89-685f-41ba-adb0-557e2b24357b,4,,,,3878543,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Inter Milan,238,['873e723d-09a1-4670-bb26-6787153ced14'],0,,,,,,,,,,,,,,,,Atalanta,228,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,3b955f2d-fa9c-4a74-a05d-6b6c82aa5f67,1981,,,,3878543,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,91,Atalanta,228,['15847a0e-1bc3-449e-805c-5b692fa5d3e7'],0,,,,,,,,,,,,,,,,Inter Milan,238,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,15847a0e-1bc3-449e-805c-5b692fa5d3e7,1982,,,,3878543,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,91,Atalanta,228,['3b955f2d-fa9c-4a74-a05d-6b6c82aa5f67'],0,,,,,,,,,,,,,,,,Atalanta,228,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.560839,,,,,,,,,,,dcc6511d-563d-4af7-8c28-d16db56c1588,5,,,"[61.0, 40.1]",3878543,0,,,,,1.7263912,,Right Foot,,,"[60.2, 45.2]",,Ground Pass,,5.162364,,,,,Germán Gustavo Denis,49439.0,,,,,Kick Off,1,From Kick Off,Maximiliano Nicol Moralez,12759.0,Right Wing,2,Atalanta,228,['de8a55ac-bb48-4ef6-a14d-3ca1da050519'],1,,,,,,,,,,,,,,,,Atalanta,228,00:00:01.503,Pass,
,,,,,,,,,,,,,,,,1.44586,,,,,,,,,,,d5a509a2-5dae-4ca3-a842-bab212252752,8,,,"[59.8, 44.3]",3878543,0,,,,,-3.0172377,,Right Foot,,,"[45.4, 42.5]",,Ground Pass,,14.512064,,,,,Marten de Roon,6994.0,,,,,,1,From Kick Off,Germán Gustavo Denis,49439.0,Center Forward,2,Atalanta,228,['23eed4c9-25f7-4ed9-b52c-93d0b41ae277'],2,,,,,,,,,,,,,,,,Atalanta,228,00:00:02.144,Pass,
,,,,,,,,,,,,,,,,2.190721,,,,,,,,,,,a5e225b8-199a-4c9f-88c2-bf44b871d224,11,,,"[42.6, 42.8]",3878543,0,,,,,-1.5968773,,Right Foot,,,"[41.7, 8.3]",,Ground Pass,,34.511738,,,,,Boukary Dramé,11722.0,,,,,,1,From Kick Off,Marten de Roon,6994.0,Center Defensive Midfield,2,Atalanta,228,['6d021fa5-f729-4bc7-ac0f-ad909f0a5d64'],4,,,,,,,,,,,,,,,,Atalanta,228,00:00:04.026,Pass,
,,,,,,,,,,,,,,,,2.238659,,,,,,,,,,,0b441499-acfc-49d4-9ce9-be5db53a5f26,14,,,"[39.8, 8.3]",3878543,0,,,,,2.2455373,,Left Foot,,,"[26.2, 25.3]",,Ground Pass,,21.770622,,,,,Nicolò Cherubin,45590.0,,,,,,1,From Kick Off,Boukary Dramé,11722.0,Left Back,2,Atalanta,228,['239cc769-e929-4d50-8661-99ea9426a0d3'],8,,,,,,,,,,,,,,,,Atalanta,228,00:00:08.565,Pass,
