50_50,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_no_touch,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_penalty,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_shot_saved_off_target,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_saved_off_target,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,f511e6e3-1796-47ec-9f80-1302014be568,1,,,3878545,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Sampdoria,234,,0,,,,,,,,,,,,,,,,,,"{'formation': 41212, 'lineup': [{'player': {'id': 7018, 'name': 'Emiliano Viviano'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 2}, {'player': {'id': 387417, 'name': 'Mattia Cassani'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 5}, {'player': {'id': 7019, 'name': 'Matías Agustín Silvestre'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 26}, {'player': {'id': 40321, 'name': 'Andrea Coda'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 6}, {'player': {'id': 7012, 'name': 'Vasco Regini'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 19}, {'player': {'id': 16586, 'name': 'Fernando Lucas Martins'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 7}, {'player': {'id': 36364, 'name': 'Dávid Ivan'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 95}, {'player': {'id': 7009, 'name': 'Édgar Osvaldo Barreto Cáceres'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 8}, {'player': {'id': 6759, 'name': 'Roberto Soriano'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 21}, {'player': {'id': 6334, 'name': 'Luis Fernando Muriel Fruto'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 24}, {'player': {'id': 7000, 'name': 'Eder Citadin Martins'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 23}]}",Sampdoria,234,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,2246bfa6-2b57-4b03-8689-0644ea059dfe,2,,,3878545,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Sampdoria,234,,0,,,,,,,,,,,,,,,,,,"{'formation': 4411, 'lineup': [{'player': {'id': 57655, 'name': 'Željko Brkić'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 7114, 'name': 'Gaetano Letizia'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 3}, {'player': {'id': 8278, 'name': 'Nicolás Federico Spolli'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 33}, {'player': {'id': 387474, 'name': 'Igor Bubnjić'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 18}, {'player': {'id': 11499, 'name': 'Riccardo Gagliolo'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 6}, {'player': {'id': 387832, 'name': 'Filippo Porcari'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 17}, {'player': {'id': 31572, 'name': 'Luca Marrone'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 39}, {'player': {'id': 7696, 'name': 'Ryder Matos Santos'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 7}, {'player': {'id': 3416, 'name': 'Gabriel Moisés Antunes da Silva'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 34}, {'player': {'id': 387475, 'name': 'Andrea Lazzari'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 10}, {'player': {'id': 7793, 'name': 'Kevin Lasagna'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 15}]}",Carpi,1683,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,79b14a27-5ba5-47c5-8dba-8535c0c7e89e,3,,,3878545,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Sampdoria,234,['b25111cc-844f-4a1f-bcfb-ef7d88eb6355'],0,,,,,,,,,,,,,,,,,,,Carpi,1683,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,b25111cc-844f-4a1f-bcfb-ef7d88eb6355,4,,,3878545,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Sampdoria,234,['79b14a27-5ba5-47c5-8dba-8535c0c7e89e'],0,,,,,,,,,,,,,,,,,,,Sampdoria,234,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,1def94f5-2281-4bab-a554-88b49b1a466f,1773,,,3878545,45,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,88,Sampdoria,234,['eaeb36a8-64cb-47d6-bf71-b480600718d5'],0,,,,,,,,,,,,,,,,,,,Sampdoria,234,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,eaeb36a8-64cb-47d6-bf71-b480600718d5,1774,,,3878545,45,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,88,Sampdoria,234,['1def94f5-2281-4bab-a554-88b49b1a466f'],0,,,,,,,,,,,,,,,,,,,Carpi,1683,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.452496,,,,,,,,,,,,,,,626af2dd-3f36-4f9c-bff5-355773cceed9,5,,"[61.0, 40.1]",3878545,0,,,,,2.0152156,,Right Foot,,,,"[60.0, 42.2]",,Ground Pass,,2.3259406,,,,Eder Citadin Martins,7000.0,,,,,,Kick Off,1,From Kick Off,Roberto Soriano,6759.0,Center Attacking Midfield,2,Sampdoria,234,['eccd99c8-775a-44ab-bf45-dcf0068059b2'],0,,,,,,,,,,,,,,,,,,,Sampdoria,234,00:00:00.060,Pass,
,,,,,,,,,,,,,,,,,,0.567878,,,,,,,,,,,,,,,ae34a71f-950f-4a4e-b662-e94a40bbefef,7,,"[60.0, 42.2]",3878545,0,,,,,-2.9441972,,Right Foot,,,,"[53.5, 40.9]",,Ground Pass,,6.6287255,,,,Fernando Lucas Martins,16586.0,,,,,,,1,From Kick Off,Eder Citadin Martins,7000.0,Left Center Forward,2,Sampdoria,234,['1b353f2d-6007-421e-8e60-867c543d02e6'],0,,,,,,,,,,,,,,,,,,,Sampdoria,234,00:00:00.512,Pass,
,,,,,,,,,,,,,,,,,,1.934253,,,,,,,,,,,,,,,41f851f7-f436-4d62-919c-42af675913b4,10,,"[53.9, 40.2]",3878545,0,,,,,-1.7060416,,Right Foot,,,,"[49.6, 8.6]",,Ground Pass,,31.891222,,,,Vasco Regini,7012.0,,,,,,,1,From Kick Off,Fernando Lucas Martins,16586.0,Center Defensive Midfield,2,Sampdoria,234,['b18617ac-7f2b-42ad-bfb6-3e5119d91d29'],1,,,,,,,,,,,,,,,,,,,Sampdoria,234,00:00:01.990,Pass,
,,,,,,,,,,,,,,,,,,1.907562,,,,,,,,,,,,,,,acc299aa-3392-4e2f-8c62-342c813a4592,13,,"[49.6, 8.6]",3878545,0,,,,,2.3680515,,Left Foot,,,,"[36.8, 21.1]",,Ground Pass,,17.89106,,,,Andrea Coda,40321.0,,,,,,,1,From Kick Off,Vasco Regini,7012.0,Left Back,2,Sampdoria,234,['cb4358d7-df8d-4221-8591-b786e4ffeaec'],4,,,,,,,,,,,,,,,,,,,Sampdoria,234,00:00:04.325,Pass,
