50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_no_touch,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_card,foul_committed_offensive,foul_committed_penalty,foul_committed_type,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,02d950c5-bb5c-4487-a5e3-27a5caabb23f,1,,,3879772,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Torino,241,,0,,,,,,,,,,,,,,,,"{'formation': 352, 'lineup': [{'player': {'id': 34881, 'name': 'Daniele Padelli'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 16202, 'name': 'Nikola Maksimović'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 19}, {'player': {'id': 3034, 'name': 'Kamil Glik'}, 'position': {'id': 4, 'name': 'Center Back'}, 'jersey_number': 25}, {'player': {'id': 7476, 'name': 'Emiliano Moretti'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 24}, {'player': {'id': 6965, 'name': 'Bruno da Silva Peres'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'jersey_number': 33}, {'player': {'id': 7479, 'name': 'Cristian Molinaro'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'jersey_number': 3}, {'player': {'id': 40430, 'name': 'Giuseppe Vives'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 20}, {'player': {'id': 7474, 'name': 'Afriyie Acquah'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 6}, {'player': {'id': 7149, 'name': 'Marco Benassi'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 15}, {'player': {'id': 7471, 'name': 'Andrea Belotti'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 9}, {'player': {'id': 7788, 'name': 'Ciro Immobile'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 10}]}",Torino,241,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,21f33aba-2fe2-444a-906b-df59a142f0db,2,,,3879772,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Torino,241,,0,,,,,,,,,,,,,,,,"{'formation': 41212, 'lineup': [{'player': {'id': 12491, 'name': 'Federico Marchetti'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 22}, {'player': {'id': 26683, 'name': 'Abdoulay Konko'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 29}, {'player': {'id': 3103, 'name': 'Milan Biševac'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 13}, {'player': {'id': 3588, 'name': 'Wesley Hoedt'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 2}, {'player': {'id': 7785, 'name': 'Senad Lulić'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 19}, {'player': {'id': 5510, 'name': 'Lucas Rodrigo Biglia'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 20}, {'player': {'id': 7107, 'name': 'Danilo Cataldi'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 32}, {'player': {'id': 8173, 'name': 'Marco Parolo'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 16}, {'player': {'id': 8172, 'name': 'Felipe Anderson Pereira Gomes'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 10}, {'player': {'id': 11427, 'name': 'Filip Đorđević'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 9}, {'player': {'id': 19286, 'name': 'Miroslav Klose'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 11}]}",Lazio,236,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,0f0f7001-75de-4bab-b8fb-41ed5c5fb6be,3,,,3879772,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Torino,241,['fc32a913-0ea6-4e92-a29f-7527842b83cc'],0,,,,,,,,,,,,,,,,,Torino,241,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,fc32a913-0ea6-4e92-a29f-7527842b83cc,4,,,3879772,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Torino,241,['0f0f7001-75de-4bab-b8fb-41ed5c5fb6be'],0,,,,,,,,,,,,,,,,,Lazio,236,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,12addd71-0c45-46be-ab44-269f16057234,1717,,,3879772,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Keeper,,,,110,Torino,241,['6ab083aa-d4ba-43ce-91e6-dd0a27a1e21d'],0,,,,,,,,,,,,,,,,,Torino,241,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,6ab083aa-d4ba-43ce-91e6-dd0a27a1e21d,1718,,,3879772,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Keeper,,,,110,Torino,241,['12addd71-0c45-46be-ab44-269f16057234'],0,,,,,,,,,,,,,,,,,Lazio,236,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,1.43674,,,,,,,,,,,,,,068e420f-2384-48a9-8c07-6496fec6d480,5,,"[60.0, 40.0]",3879772,0,,,,,-3.0778494,,Right Foot,,,,"[45.9, 39.1]",Ground Pass,,14.128695,,,,,Giuseppe Vives,40430.0,,,,,Kick Off,1,From Kick Off,Ciro Immobile,7788.0,Left Center Forward,2,Torino,241,['6d9ced7c-1f5d-4dfc-b903-6e318fa05a10'],0,,,,,,,,,,,,,,,,,Torino,241,00:00:00.505,Pass,
,,,,,,,,,,,,,,,,,,3.047879,,,,,,,,,,,,,,c7d639f5-6c54-48dd-b7a0-234f40dcf971,8,,"[50.5, 39.5]",3879772,0,,,,,-0.8516071,,Right Foot,,,,"[85.0, 0.1]",High Pass,,52.369934,,,Out,,Cristian Molinaro,7479.0,,,,,,1,From Kick Off,Giuseppe Vives,40430.0,Center Defensive Midfield,2,Torino,241,['71f533da-1b88-4e17-b211-13f14bfbedcf'],3,,,,,,,,,,,,,,,,,Torino,241,00:00:03.068,Pass,
,,,,,,,,,,,,,,,,,,1.208756,,,,,,,,,,,,,,66d87576-2831-448c-a419-aee1ae2e01f8,10,,"[35.1, 80.0]",3879772,0,,,,,-0.41071695,,,,,,"[47.5, 74.6]",High Pass,,13.524792,,,,,Felipe Anderson Pereira Gomes,8172.0,,,,,Throw-in,1,From Throw In,Abdoulay Konko,26683.0,Right Back,3,Lazio,236,['228d82ba-3d34-4d70-bfef-f61d98ce22a8'],11,,,,,,,,,,,,,,,,,Lazio,236,00:00:11.321,Pass,
,,,,,,,,,,,,,,,,,,4.232585,,,,,,,,,,,,,,9d4366dc-ac61-4650-9019-4d0888f2edf4,16,,"[46.0, 75.0]",3879772,0,,,,,-1.8115182,,Right Foot,,,,"[29.7, 8.6]",High Pass,,68.371414,,,,,Senad Lulić,7785.0,,True,,,Free Kick,1,From Free Kick,Milan Biševac,3103.0,Right Center Back,4,Lazio,236,['3d6ac44c-ae0b-4cad-8ad1-ae389b605b04'],31,,,,,,,,,,,,,,,,,Lazio,236,00:00:31.254,Pass,
,,,,,,,,,,,,,,,,,,1.413342,,,,,,,,,,,,,,7da48906-ed4d-4682-b8e0-62d828b77bc4,19,,"[39.8, 7.6]",3879772,0,,,,,0.07271923,,Left Foot,,,,"[70.0, 9.8]",Ground Pass,,30.280025,,,Incomplete,,Miroslav Klose,19286.0,,,,,,1,From Free Kick,Senad Lulić,7785.0,Left Back,4,Lazio,236,"['13e3c6f5-8355-45d9-818e-419a4a7678dd', 'bec6837e-feab-4d04-a95a-5144243a2207']",39,,,,,,,,,,,,,,,,,Lazio,236,00:00:39.736,Pass,
,,,,,,,,,,,,,,,,,,1.577681,,,,,,,,,,,,,,13e3c6f5-8355-45d9-818e-419a4a7678dd,21,,"[50.1, 70.3]",3879772,0,,,,,0.12721622,,Right Foot,,,,"[67.3, 72.5]",High Pass,,17.340126,,,,,Ciro Immobile,7788.0,,,,,Recovery,1,From Free Kick,Afriyie Acquah,7474.0,Right Center Midfield,4,Lazio,236,"['7da48906-ed4d-4682-b8e0-62d828b77bc4', 'ac509135-4e47-4487-bbc5-8043358018c5']",41,,,,,,,,,,,,,,,,,Torino,241,00:00:41.149,Pass,
,,,,,,,,,,,,,,,,,,0.675049,,,,,,,,,,,,,,5adf438d-a2a0-4b9e-9bbe-24e81467cbec,28,,"[63.8, 77.6]",3879772,0,,,,,-0.22382797,,Right Foot,,,,"[76.1, 74.8]",Ground Pass,,12.614674,,,Incomplete,,Bruno da Silva Peres,6965.0,,,,,Recovery,1,From Free Kick,Ciro Immobile,7788.0,Left Center Forward,4,Lazio,236,"['92b7a17d-9b83-47ef-8c82-6b1b6c169c09', 'f700221d-71ed-4abb-851c-9a6efb47f2b7']",45,,,,,,,,,,,,,,,,,Torino,241,00:00:45.318,Pass,
,,,,,,,,,,,,,,,,,,1.167857,,,,,,,,,,,,,,94e3b4ed-9baa-4c28-a615-dd7e1b5301f3,33,,"[50.8, 3.3]",3879772,0,,,,,0.9082334,,Right Foot,,,,"[57.9, 12.4]",Low Pass,,11.542097,,,Incomplete,,,,,,,,,1,From Free Kick,Senad Lulić,7785.0,Left Back,4,Lazio,236,"['0b66cca5-2d60-4235-8259-4070be118783', '809d6514-08b7-4e93-ba56-03af6d37c2dc']",47,,,,,,,,,,,,,,,,,Lazio,236,00:00:47.809,Pass,True
,,,,,,,,,,,,,,,,,,1.416135,,,,,,,,,,,,,,68994409-1181-4d6f-8694-ee90898065c8,37,,"[65.5, 67.5]",3879772,0,,,,,-2.2129047,,Right Foot,,,,"[56.9, 56.0]",Ground Pass,,14.360014,,,,,Giuseppe Vives,40430.0,,,,,,1,Regular Play,Afriyie Acquah,7474.0,Right Center Midfield,5,Torino,241,"['1b1c0221-12ba-465e-bdce-aeb98951ff6f', 'e8da3fa3-1171-4fc7-a858-fcef37c363ab']",49,,,,,,,,,,,,,,,,,Torino,241,00:00:49.548,Pass,True
,,,,,,,,,,,,,,,,,,1.126975,,,,,,,,,,,,,,f82a6960-c49e-4f85-9b04-272c48861803,41,,"[54.2, 54.1]",3879772,0,,,,,3.1385806,,Right Foot,,,,"[21.0, 54.2]",Ground Pass,,33.20015,,,,,Kamil Glik,3034.0,,,,,,1,Regular Play,Giuseppe Vives,40430.0,Center Defensive Midfield,5,Torino,241,"['47305b52-2dc9-4e43-a634-d386ff5f6ee6', 'e7e921a6-ebcb-4667-89d5-26f0145417c7']",52,,,,,,,,,,,,,,,,,Torino,241,00:00:52.231,Pass,True
