50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_shot_saved_off_target,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_saved_off_target,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,4b6f2455-a5b8-4159-9f96-0c03ec2ee06a,1,,,3879709,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Carpi,1683,,0,,,,,,,,,,,,,,,,"{'formation': 4411, 'lineup': [{'player': {'id': 8662, 'name': 'Vid Belec'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 27}, {'player': {'id': 387300, 'name': 'Cristian Zaccardo'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 5}, {'player': {'id': 7172, 'name': 'Simone Romagnoli'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 21}, {'player': {'id': 11499, 'name': 'Riccardo Gagliolo'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 6}, {'player': {'id': 32525, 'name': 'Fabrizio Poli'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 13}, {'player': {'id': 7460, 'name': 'Isaac Cofie'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 4}, {'player': {'id': 352172, 'name': 'Raffaele Bianco'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 7114, 'name': 'Gaetano Letizia'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 3}, {'player': {'id': 11502, 'name': 'Antonio Di Gaudio'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 11}, {'player': {'id': 30829, 'name': 'Lorenzo Lollo'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 20}, {'player': {'id': 32608, 'name': 'Jerry Uche Mbakogu'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 99}]}",Carpi,1683,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,7b80c13f-3587-41e0-a847-d3781f782a90,2,,,3879709,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Carpi,1683,,0,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 7055, 'name': 'Stefano Sorrentino'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 70}, {'player': {'id': 24061, 'name': 'Aljaž Struna'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 23}, {'player': {'id': 8102, 'name': 'Edoardo Goldaniga'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 6}, {'player': {'id': 5584, 'name': 'Giancarlo González Castro'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 12}, {'player': {'id': 10032, 'name': 'Achraf Lazaar'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 7}, {'player': {'id': 30735, 'name': 'Mato Jajalo'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 28}, {'player': {'id': 5605, 'name': 'Oscar Hiljemark'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 10}, {'player': {'id': 40349, 'name': 'Ivaylo Chochev'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 18}, {'player': {'id': 6719, 'name': 'Franco Damián Vázquez'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 20}, {'player': {'id': 8552, 'name': 'Robin Quaison'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 21}, {'player': {'id': 38389, 'name': 'Alberto Gilardino'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 11}]}",Palermo,2256,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,210c5bbe-de5f-4177-9ba0-678306499f87,3,,,3879709,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Carpi,1683,['955cf3b3-c469-4622-98d3-2a674dd3ddf3'],0,,,,,,,,,,,,,,,,,Carpi,1683,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,955cf3b3-c469-4622-98d3-2a674dd3ddf3,4,,,3879709,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Carpi,1683,['210c5bbe-de5f-4177-9ba0-678306499f87'],0,,,,,,,,,,,,,,,,,Palermo,2256,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,01a74cf3-ba2c-4bcb-9bd4-7f1bf3d8056e,1829,,,3879709,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,120,Carpi,1683,['5c085c69-faac-464a-9b14-25ca748d8c67'],0,,,,,,,,,,,,,,,,,Carpi,1683,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,5c085c69-faac-464a-9b14-25ca748d8c67,1830,,,3879709,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,120,Carpi,1683,['01a74cf3-ba2c-4bcb-9bd4-7f1bf3d8056e'],0,,,,,,,,,,,,,,,,,Palermo,2256,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.458123,,,,,,,,,,,,,,,,,fddbace2-1a63-4969-8005-875fd91fa000,5,,"[60.0, 40.0]",3879709,0,,True,,,-1.8533512,,Right Foot,,,"[59.1, 36.9]",,Ground Pass,,3.2280025,,,,,Franco Damián Vázquez,6719.0,,,,,Kick Off,1,From Kick Off,Alberto Gilardino,38389.0,Center Forward,2,Palermo,2256,['4ff3a68c-0390-456b-afa9-b31caa05efc9'],0,,,,,,,,,,,,,,,,,Palermo,2256,00:00:00.476,Pass,
,,,,,,,,,,,,,,,1.33549,,,,,,,,,,,,,,,,,4f96a5f7-d50e-4e43-a30c-47c43d69fe68,7,,"[58.6, 38.6]",3879709,0,,,,,-3.113822,,Right Foot,,,"[44.2, 38.2]",,Ground Pass,,14.405555,,,,,Mato Jajalo,30735.0,,,,,,1,From Kick Off,Franco Damián Vázquez,6719.0,Right Wing,2,Palermo,2256,['cdefed8e-0c07-43b1-8f98-120033f01574'],1,,,,,,,,,,,,,,,,,Palermo,2256,00:00:01.134,Pass,
,,,,,,,,,,,,,,,1.895707,,,,,,,,,,,,,,,,,de322e0e-975c-4481-b42b-c0a403d341f9,10,,"[42.9, 36.9]",3879709,0,,,,,-1.5276338,,Right Foot,,,"[44.2, 6.8]",,Ground Pass,,30.12806,,,,,Achraf Lazaar,10032.0,,,,,,1,From Kick Off,Mato Jajalo,30735.0,Center Defensive Midfield,2,Palermo,2256,['77d2d9f6-619b-4cd8-9c65-410f60b8bda3'],3,,,,,,,,,,,,,,,,,Palermo,2256,00:00:03.464,Pass,
,,,,,,,,,,,,,,,1.009815,,,,,,,,,,,,,,,,,9c276abe-42da-4cfe-9bea-e2da7541358e,13,,"[42.5, 6.1]",3879709,0,,,,,0.08391463,,Left Foot,,,"[63.9, 7.9]",,Ground Pass,,21.475567,,,,,Ivaylo Chochev,40349.0,,,,,,1,From Kick Off,Achraf Lazaar,10032.0,Left Back,2,Palermo,2256,['2bd1b616-1ce9-4c21-9d5c-4af80ea7a0bc'],7,,,,,,,,,,,,,,,,,Palermo,2256,00:00:07.015,Pass,
