50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_follows_dribble,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,21f43951-beb5-4282-9ad4-a66754eb02b2,1,,,3879648,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Udinese,230,,0,,,,,,,,,,,,,,,,,,"{'formation': 352, 'lineup': [{'player': {'id': 3742, 'name': 'Orestis Karnezis'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 31}, {'player': {'id': 3577, 'name': 'Molla Wagué'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 2}, {'player': {'id': 386654, 'name': 'Maurizio Domizzi'}, 'position': {'id': 4, 'name': 'Center Back'}, 'jersey_number': 11}, {'player': {'id': 46670, 'name': 'Iván Rodrigo Piris Leguizamón'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 89}, {'player': {'id': 7796, 'name': 'Silvan Widmer'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'jersey_number': 27}, {'player': {'id': 25116, 'name': 'Edenílson Andrade dos Santos'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'jersey_number': 21}, {'player': {'id': 40367, 'name': 'Francesco Lodi'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 20}, {'player': {'id': 6743, 'name': 'Manuel Rolando Iturra Urrutia'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 16}, {'player': {'id': 5204, 'name': 'Bruno Miguel Borges Fernandes'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 8}, {'player': {'id': 8272, 'name': 'Cyril Théréau'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 77}, {'player': {'id': 19846, 'name': 'Antonio Di Natale'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 10}]}",Udinese,230,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,140b567f-39b1-4d77-88e9-e500f873881f,2,,,3879648,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Udinese,230,,0,,,,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 7001, 'name': 'Samir Handanovič'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 6593, 'name': 'Martín Montoya Torralbo'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 14}, {'player': {'id': 5551, 'name': 'João Miranda de Souza Filho'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 25}, {'player': {'id': 6585, 'name': 'Jeison Fabián Murillo Cerón'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 24}, {'player': {'id': 11183, 'name': 'Alex Nicolao Telles'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 12}, {'player': {'id': 32807, 'name': 'Fredy Alejandro Guarín Vásquez'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 13}, {'player': {'id': 25430, 'name': 'Felipe Melo de Carvalho'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 83}, {'player': {'id': 5474, 'name': 'Ivan Perišić'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 44}, {'player': {'id': 5587, 'name': 'Adem Ljajić'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 22}, {'player': {'id': 6987, 'name': 'Mauro Emanuel Icardi Rivero'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 9}, {'player': {'id': 3434, 'name': 'Stevan Jovetić'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 10}]}",Inter Milan,238,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,d37b70db-b607-41ec-a43f-0eab22095878,3,,,3879648,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Udinese,230,['a003754e-009b-4dcc-80b6-17ff6d4f8308'],0,,,,,,,,,,,,,,,,,,,Udinese,230,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,a003754e-009b-4dcc-80b6-17ff6d4f8308,4,,,3879648,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Udinese,230,['d37b70db-b607-41ec-a43f-0eab22095878'],0,,,,,,,,,,,,,,,,,,,Inter Milan,238,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,1cebb1fe-23db-4b91-b770-3401af0ec57f,1769,,,3879648,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,93,Inter Milan,238,['dae1060a-3dff-4573-96a4-05359a8fc57e'],0,,,,,,,,,,,,,,,,,,,Udinese,230,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,dae1060a-3dff-4573-96a4-05359a8fc57e,1770,,,3879648,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,93,Inter Milan,238,['1cebb1fe-23db-4b91-b770-3401af0ec57f'],0,,,,,,,,,,,,,,,,,,,Inter Milan,238,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.2,,,,,,,,,,,,,ac6ce021-bac5-4d53-8466-01bb12f4c010,5,,"[61.0, 40.1]",3879648,0,True,,,1.9638543,,Right Foot,,,,"[59.3, 44.2]",,Ground Pass,,4.438468,,,,Antonio Di Natale,19846.0,,,,,Kick Off,1,From Kick Off,Cyril Théréau,8272.0,Right Center Forward,2,Udinese,230,['e7e135af-6c6b-420e-ad60-2aaa6964eef5'],1,,,,,,,,,,,,,,,,,,,Udinese,230,00:00:01.140,Pass,
,,,,,,,,,,,,,,,,1.036645,,,,,,,,,,,,,0e7fb4c4-40af-4a57-a255-a462d8731efc,7,,"[57.7, 41.3]",3879648,0,,,,-3.0516107,,Right Foot,,,,"[44.4, 40.1]",,Ground Pass,,13.354026,,,,Francesco Lodi,40367.0,,,,,,1,From Kick Off,Antonio Di Natale,19846.0,Left Center Forward,2,Udinese,230,['6700fdd5-893e-4099-b320-3f6fc3ae82a9'],1,,,,,,,,,,,,,,,,,,,Udinese,230,00:00:01.490,Pass,
,,,,,,,,,,,,,,,,2.961937,,,,,,,,,,,,,465dddda-5079-4313-8440-96c10607feb6,10,,"[44.8, 39.6]",3879648,0,,,,-1.5551726,,Left Foot,,,,"[45.4, 1.2]",,Low Pass,,38.404686,,Out,,Iván Rodrigo Piris Leguizamón,46670.0,,,,,,1,From Kick Off,Francesco Lodi,40367.0,Center Defensive Midfield,2,Udinese,230,['f0cdbd79-c6c2-4f9e-ad9d-18198d105dab'],2,,,,,,,,,,,,,,,,,,,Udinese,230,00:00:02.899,Pass,
,,,,,,,,,,,,,,,,1.446884,,,,,,,,,,,,,b7ecb055-513b-461a-86f7-149107d2baab,12,,"[74.8, 80.0]",3879648,0,,,,-0.59740084,,,,,,"[87.0, 71.7]",,Low Pass,,14.755677,,,,Stevan Jovetić,3434.0,,,,,Throw-in,1,From Throw In,Martín Montoya Torralbo,6593.0,Right Back,3,Inter Milan,238,['dc4afcaf-60b8-436b-8cde-79bdd53362fe'],16,,,,,,,,,,,,,,,,,,,Inter Milan,238,00:00:16.136,Pass,
