50_50,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,919700aa-1d7f-40f9-9c94-5031c01aa15c,1,,,3890459,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Werder Bremen,176,,0,,,,,,,,,,,,,,,,"{'formation': 41212, 'lineup': [{'player': {'id': 23269, 'name': 'Felix Wiedwald'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 42}, {'player': {'id': 8396, 'name': 'Theodor Gebre Selassie'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 23}, {'player': {'id': 8815, 'name': 'Jannik Vestergaard'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 7}, {'player': {'id': 3774, 'name': 'Papiss Mison Djilobodji'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 3}, {'player': {'id': 26359, 'name': 'Santiago García'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 2}, {'player': {'id': 11396, 'name': 'Florian Grillitsch'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 27}, {'player': {'id': 23660, 'name': 'Sambou Yatabaré'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 5}, {'player': {'id': 8389, 'name': 'Fin Bartels'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 22}, {'player': {'id': 8762, 'name': 'Zlatko Junuzović'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 16}, {'player': {'id': 11132, 'name': 'Claudio Miguel Pizarro Bossio'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 14}, {'player': {'id': 12624, 'name': 'Anthony Ujah'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 21}]}",Werder Bremen,176,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,ed48bd45-d448-4587-8ad0-cfe028a47ab2,2,,,3890459,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Werder Bremen,176,,0,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 8306, 'name': 'Christian Mathenia'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 31}, {'player': {'id': 12383, 'name': 'Florian Jungwirth'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 23}, {'player': {'id': 9217, 'name': 'Aytac Sulu'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 4}, {'player': {'id': 35033, 'name': 'Slobodan Rajković'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 35}, {'player': {'id': 9404, 'name': 'Luca Caldirola'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 33}, {'player': {'id': 40467, 'name': 'Peter Niemeyer'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 18}, {'player': {'id': 8388, 'name': 'Jérôme Gondorf'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 9401, 'name': 'Marcel Heller'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 20}, {'player': {'id': 40477, 'name': 'Jan Rosenthal'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 10}, {'player': {'id': 11134, 'name': 'Konstantin Rausch'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 34}, {'player': {'id': 9723, 'name': 'Sandro Wagner'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 14}]}",Darmstadt 98,872,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,db1b4dcf-99d9-4a53-b58c-94937528cad6,3,,,3890459,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Werder Bremen,176,['2404e4c7-1931-44de-a901-93543b49d4d9'],0,,,,,,,,,,,,,,,,,Darmstadt 98,872,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,2404e4c7-1931-44de-a901-93543b49d4d9,4,,,3890459,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Werder Bremen,176,['db1b4dcf-99d9-4a53-b58c-94937528cad6'],0,,,,,,,,,,,,,,,,,Werder Bremen,176,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,f463f598-c526-4e53-8788-3d1614132b76,1413,,,3890459,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,95,Darmstadt 98,872,['0829812f-e0b6-4419-9168-01a3626e36db'],0,,,,,,,,,,,,,,,,,Darmstadt 98,872,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,0829812f-e0b6-4419-9168-01a3626e36db,1414,,,3890459,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,95,Darmstadt 98,872,['f463f598-c526-4e53-8788-3d1614132b76'],0,,,,,,,,,,,,,,,,,Werder Bremen,176,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.330238,,,,,,,,,,,,,,,,7d0dd8cd-aa19-485a-a2d5-59bb46a8705f,5,,"[61.0, 40.1]",3890459,0,,True,,,1.735945,,Right Foot,,,,"[60.4, 43.7]",,Ground Pass,,3.6496575,,,,Zlatko Junuzović,8762.0,,,,,Kick Off,1,From Kick Off,Claudio Miguel Pizarro Bossio,11132.0,Right Center Forward,2,Werder Bremen,176,['48d9b88f-464a-44c3-8d5a-3820642e1e22'],0,,,,,,,,,,,,,,,,,Werder Bremen,176,00:00:00.817,Pass,
,,,,,,,,,,,,,,,,,1.419708,,,,,,,,,,,,,,,,63031044-8308-49e2-8351-45430164d57e,7,,"[60.4, 42.0]",3890459,0,,,,,-2.9279714,,Right Foot,,,,"[41.5, 37.9]",,Ground Pass,,19.339596,,,,Papiss Mison Djilobodji,3774.0,,,,,,1,From Kick Off,Zlatko Junuzović,8762.0,Center Attacking Midfield,2,Werder Bremen,176,['364741a0-e523-4e4b-aed4-db7b9acb0028'],1,,,,,,,,,,,,,,,,,Werder Bremen,176,00:00:01.210,Pass,
,,,,,,,,,,,,,,,,,3.174709,,,,,,,,,,,,,,,,2217df38-0147-464e-98b7-934e8c56e768,10,,"[43.7, 37.3]",3890459,0,,,,,0.2664206,,Left Foot,,,,"[93.9, 51.0]",,High Pass,,52.035854,,Incomplete,,Anthony Ujah,12624.0,,,,,,1,From Kick Off,Papiss Mison Djilobodji,3774.0,Left Center Back,2,Werder Bremen,176,"['209e4322-d1f4-447a-b651-c2947d34e98d', '6b840599-0b83-4fe7-ab35-55013b3648c7']",4,,,,,,,,,,,,,,,,,Werder Bremen,176,00:00:04.027,Pass,
,,,,,,,,,,,,,,,,,1.737131,,,,,,,,,,,,,,,,209e4322-d1f4-447a-b651-c2947d34e98d,12,,"[26.2, 29.1]",3890459,0,,,,,-0.48070353,,Head,,,,"[44.8, 19.4]",,High Pass,,20.97737,,Incomplete,,Konstantin Rausch,11134.0,,,,,Recovery,1,From Kick Off,Slobodan Rajković,35033.0,Left Center Back,2,Werder Bremen,176,"['2020a8fb-f16b-4500-aeeb-17ab732a39c9', '2217df38-0147-464e-98b7-934e8c56e768', '37fc9643-662c-4a09-a294-321c13bd95ce']",7,,,,,,,,,,,,,,,,,Darmstadt 98,872,00:00:07.201,Pass,
