ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,block_offensive,block_save_block,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_success_in_play,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_redirect,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,267e27df-ee4b-4639-b4b0-6cd87b81c345,1,,,3775544,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Aston Villa,2647,,0,,,,,,,,,,,,,,,,,"{'formation': 3412, 'lineup': [{'player': {'id': 38317, 'name': 'Lisa Weiß'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 29}, {'player': {'id': 46534, 'name': ""Elisha N''Dow""}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 5}, {'player': {'id': 4657, 'name': 'Anita Amma Ankyewah Asante'}, 'position': {'id': 4, 'name': 'Center Back'}, 'jersey_number': 6}, {'player': {'id': 46535, 'name': 'Natalie Haigh'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 15}, {'player': {'id': 46541, 'name': 'Asmita Ale'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'jersey_number': 3}, {'player': {'id': 46537, 'name': 'Jodie Hutton'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'jersey_number': 12}, {'player': {'id': 10193, 'name': 'Chloe Arthur'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 77717, 'name': 'Olivia McLoughlin'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 16}, {'player': {'id': 25610, 'name': 'Mana Iwabuchi'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 20}, {'player': {'id': 10102, 'name': 'Stine Larsen'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 9}, {'player': {'id': 19499, 'name': 'Shania Hayles'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 22}]}",Aston Villa,2647,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,6f3a749b-4e90-4bb8-b4a6-8814be5bcb37,2,,,3775544,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Aston Villa,2647,,0,,,,,,,,,,,,,,,,,"{'formation': 3511, 'lineup': [{'player': {'id': 42787, 'name': 'Mackenzie Arnold'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 34232, 'name': 'Grace Fisk'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 22}, {'player': {'id': 18151, 'name': 'Gilly Louise Scarlett Flaherty'}, 'position': {'id': 4, 'name': 'Center Back'}, 'jersey_number': 5}, {'player': {'id': 31157, 'name': 'Hawa Cissoko'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 23}, {'player': {'id': 31553, 'name': 'Cecilie Redisch Kvamme'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'jersey_number': 2}, {'player': {'id': 15724, 'name': 'Mayumi Pacheco'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'jersey_number': 3}, {'player': {'id': 18147, 'name': 'Kate Longhurst'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 12}, {'player': {'id': 15421, 'name': 'Kenza Dali'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 21}, {'player': {'id': 10124, 'name': 'Dagný Brynjarsdóttir'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 32}, {'player': {'id': 5076, 'name': 'Emily Louise van Egmond'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 25}, {'player': {'id': 31558, 'name': 'Martha Thomas'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",West Ham United LFC,972,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,479eccba-2b2e-416e-a0ae-a31b9ed0238b,3,,,3775544,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Aston Villa,2647,['037954ab-0ff3-4deb-a2d0-bd9baafc5b2c'],0,,,,,,,,,,,,,,,,,,West Ham United LFC,972,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,037954ab-0ff3-4deb-a2d0-bd9baafc5b2c,4,,,3775544,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Aston Villa,2647,['479eccba-2b2e-416e-a0ae-a31b9ed0238b'],0,,,,,,,,,,,,,,,,,,Aston Villa,2647,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,01fdb098-00d5-4028-b4cc-b8d442b432eb,1568,,,3775544,45,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,110,Aston Villa,2647,['94811e6a-e485-4c84-97e3-45a34ae46997'],0,,,,,,,,,,,,,,,,,,West Ham United LFC,972,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,94811e6a-e485-4c84-97e3-45a34ae46997,1569,,,3775544,45,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,110,Aston Villa,2647,['01fdb098-00d5-4028-b4cc-b8d442b432eb'],0,,,,,,,,,,,,,,,,,,Aston Villa,2647,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,1.067107,,,,,,,,,,,,,,45df7433-1417-445d-8e26-749a69337404,5,,"[61.0, 40.1]",3775544,0,,,-2.8828218,,Right Foot,,,,"[47.4, 36.5]",Ground Pass,,14.068404,,,,Kate Longhurst,18147.0,,,,,Kick Off,1,From Kick Off,Martha Thomas,31558.0,Center Forward,2,West Ham United LFC,972,['a8c3baae-044d-433f-a66b-4b71934f9267'],0,,,,,,,,,,,,,,,,,,West Ham United LFC,972,00:00:00.406,Pass,
,,,,,,,,,,,,,,,,,,1.70744,,,,,,,,,,,,,,5b95e8c9-cd59-43f9-bca1-cc56e495dc56,8,,"[43.9, 44.0]",3775544,0,,,1.5194715,,Right Foot,,,,"[45.4, 73.2]",Ground Pass,,29.238503,,,,Grace Fisk,34232.0,,,,,,1,From Kick Off,Kate Longhurst,18147.0,Center Defensive Midfield,2,West Ham United LFC,972,['2b317226-0819-4f69-b833-a5056d570f05'],4,,,,,,,,,,,,,,,,,,West Ham United LFC,972,00:00:04.592,Pass,
,,,,,,,,,,,,,,,,,,5.04605,,,,,,,,,,,,,,8c60cb21-992e-46b6-a93e-dd980ce9b95e,12,,"[48.6, 75.2]",3775544,0,,,-0.24766374,,Right Foot,,,,"[109.9, 59.7]",High Pass,,63.229267,,Incomplete,,,,,,,,,1,From Kick Off,Grace Fisk,34232.0,Right Center Back,2,West Ham United LFC,972,"['448b8034-ffe5-45e2-b20a-5911db75ba7d', '59c94b16-c09e-4fe6-a261-5eac9157cf56']",6,,,,,,,,,,,,,,,,,,West Ham United LFC,972,00:00:06.803,Pass,True
,,,,,,,,,,,,,,,,,,2.236258,,,,,,,,,,,,,,2224d64c-c94f-495d-a74b-fdc73f171c2b,15,,"[7.3, 40.4]",3775544,0,,,1.4987563,,Keeper Arm,,,,"[9.4, 69.5]",Ground Pass,,29.175674,,,,Elisha N''Dow,46534.0,,,,,,1,From Kick Off,Lisa Weiß,38317.0,Goalkeeper,2,West Ham United LFC,972,['f9a5fbc5-56a9-46b4-b29b-df59fe082520'],18,,,,,,,,,,,,,,,,,,Aston Villa,2647,00:00:18.983,Pass,
