ball_receipt_outcome,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,c7e629fd-cfb7-4120-ba39-203f9e13ee7f,1,,,,3775563,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Manchester United,1475,,0,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 31538, 'name': 'Mary Alexandra Earps'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 27}, {'player': {'id': 46639, 'name': 'Ona Batlle Pascual'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 17}, {'player': {'id': 31533, 'name': 'Amy Turner'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 4}, {'player': {'id': 31536, 'name': 'Millie Turner'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 21}, {'player': {'id': 10196, 'name': 'Kirsty Smith'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 20}, {'player': {'id': 31540, 'name': 'Katie Zelem'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 10}, {'player': {'id': 31534, 'name': 'Ella Toone'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 7}, {'player': {'id': 15562, 'name': 'Lucy Staniforth'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 37}, {'player': {'id': 4653, 'name': 'Jane Ross'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 19}, {'player': {'id': 6817, 'name': 'Christen Annemarie Press'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 24}, {'player': {'id': 10654, 'name': 'Jackie Groenen'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 14}]}",Manchester United,1475,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,4e679238-fcd0-4350-8fa9-0047400827b7,2,,,,3775563,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Manchester United,1475,,0,,,,,,,,,,,,,,,,"{'formation': 343, 'lineup': [{'player': {'id': 34360, 'name': 'Alexandra MacIver'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 15789, 'name': 'Rikke Læntver Sevecke'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 4}, {'player': {'id': 18254, 'name': 'Megan Finnigan'}, 'position': {'id': 4, 'name': 'Center Back'}, 'jersey_number': 20}, {'player': {'id': 15575, 'name': 'Gabrielle George'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 6}, {'player': {'id': 10382, 'name': 'Ingrid Moe Wold'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'jersey_number': 2}, {'player': {'id': 17274, 'name': 'Poppy Pattinson'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'jersey_number': 30}, {'player': {'id': 10172, 'name': 'Jill Scott'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 18}, {'player': {'id': 4645, 'name': 'Isobel Mary Christiansen'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 8}, {'player': {'id': 10274, 'name': 'Nicoline Sørensen'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 14}, {'player': {'id': 4646, 'name': 'Claire Emslie'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 11}, {'player': {'id': 6818, 'name': 'Hayley Emma Raso'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 16}]}",Everton LFC,967,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,3c698f76-7915-4de6-b24b-35c4c5f5c6db,3,,,,3775563,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Manchester United,1475,['15ca6f0e-414e-4256-987c-fe99da05bb43'],0,,,,,,,,,,,,,,,,,Manchester United,1475,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,15ca6f0e-414e-4256-987c-fe99da05bb43,4,,,,3775563,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Manchester United,1475,['3c698f76-7915-4de6-b24b-35c4c5f5c6db'],0,,,,,,,,,,,,,,,,,Everton LFC,967,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,4d7b4fa4-644e-47ec-8bcc-461ba34fdce6,1999,,,,3775563,45,,,,,,,,,,,,,,,,,,,,,,,2,From Corner,,,,126,Everton LFC,967,['d3b7db7e-068d-4f58-ab1f-f35461456ba3'],0,,,,,,,,,,,,,,,,,Manchester United,1475,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,d3b7db7e-068d-4f58-ab1f-f35461456ba3,2000,,,,3775563,45,,,,,,,,,,,,,,,,,,,,,,,2,From Corner,,,,126,Everton LFC,967,['4d7b4fa4-644e-47ec-8bcc-461ba34fdce6'],0,,,,,,,,,,,,,,,,,Everton LFC,967,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,1.475466,,,,,,,,,,,,46049373-69a0-4b79-a7e0-f1b20a171de9,5,,,"[61.0, 40.1]",3775563,0,,,,-2.738938,,Right Foot,,,"[39.4, 30.9]",,Ground Pass,,23.47765,,Megan Finnigan,18254.0,,,,,,Kick Off,1,From Kick Off,Isobel Mary Christiansen,4645.0,Left Center Midfield,2,Everton LFC,967,['5db4903f-6144-4124-8983-774c12385606'],0,,,,,,,,,,,,,,,,,Everton LFC,967,00:00:00.423,Pass,
,,,,,,,,,,,,,,,2.76057,,,,,,,,,,,,60a8a812-3fc2-435f-92b3-ecd2d65c4f7e,9,,,"[39.2, 34.2]",3775563,0,,,,-0.6322616,,Right Foot,,,"[83.7, 1.6]",,High Pass,,55.163483,Out,Claire Emslie,4646.0,,,,,,,1,From Kick Off,Megan Finnigan,18254.0,Center Back,2,Everton LFC,967,['62e40eca-41b9-4929-89a6-0fe0cbf1b503'],3,,,,,,,,,,,,,,,,,Everton LFC,967,00:00:03.361,Pass,
,,,,,,,,,,,,,,,1.812526,,,,,,,,,,,,ff891904-9ca4-4f0d-806c-3ecc507e0243,11,,,"[34.5, 80.0]",3775563,0,,,,-2.5177143,,,,,"[16.3, 66.9]",,Low Pass,,22.424316,,Amy Turner,31533.0,,,,,,Throw-in,1,From Throw In,Ona Batlle Pascual,46639.0,Right Back,3,Manchester United,1475,['51e4b7d3-b209-45b3-9027-1a575c714369'],11,,,,,,,,,,,,,,,,,Manchester United,1475,00:00:11.194,Pass,
,,,,,,,,,,,,,,,2.990115,,,,,,,,,,,,40933c29-f08f-404d-957b-d5c38aaab290,14,,,"[14.9, 57.4]",3775563,0,,,,-1.1921791,,Right Foot,,,"[36.7, 2.6]",,High Pass,,58.976944,,Kirsty Smith,10196.0,,,True,,,,1,From Throw In,Amy Turner,31533.0,Right Center Back,3,Manchester United,1475,['cbac050d-64ea-4df1-b42c-d642b1d69a0f'],15,,,,,,,,,,,,,,,,,Manchester United,1475,00:00:15.862,Pass,
