50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_success_in_play,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,6d8f73fc-ac89-42b3-8756-714370c67da1,1,,,,3825875,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Villarreal,222,,0,,,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 6755, 'name': 'Sergio Asenjo Andrés'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 6772, 'name': 'Mario Gaspar Pérez Martínez'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 3324, 'name': 'Eric Bertrand Bailly'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 24}, {'player': {'id': 6752, 'name': 'Víctor Ruíz Torre'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 6}, {'player': {'id': 5588, 'name': 'Antonio Rukavina'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 22}, {'player': {'id': 22819, 'name': 'Bruno Soriano Llido'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 21}, {'player': {'id': 6622, 'name': 'Tomás Pina Isla'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 4}, {'player': {'id': 6829, 'name': 'Samuel Castillejo Azuaga'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 19}, {'player': {'id': 6609, 'name': 'Denis Suárez Fernández'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 18}, {'player': {'id': 26009, 'name': 'Roberto Soldado Rillo'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 9}, {'player': {'id': 6862, 'name': 'Cédric Bakambu'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 17}]}",Villarreal,222,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,6b9b6762-227d-469d-9016-038d96ed79b8,2,,,,3825875,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Villarreal,222,,0,,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 6694, 'name': 'Gerónimo Rulli'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 6605, 'name': 'Joseba Zaldúa Bengoetxea'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 20}, {'player': {'id': 6679, 'name': 'Aritz Elustondo Irribaria'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 30}, {'player': {'id': 6665, 'name': 'Íñigo Martínez Berridi'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 6}, {'player': {'id': 3023, 'name': 'Yuri Berchiche Izeta'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 19}, {'player': {'id': 16539, 'name': 'Diego Antonio Reyes Rosales'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 23}, {'player': {'id': 6633, 'name': 'Markel Bergara Larrañaga'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 5}, {'player': {'id': 6671, 'name': 'Asier Illarramendi Andonegi'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 4}, {'player': {'id': 6685, 'name': 'Mikel Oyarzabal Ugarte'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 28}, {'player': {'id': 6669, 'name': 'David Zurutuza Veillet'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 17}, {'player': {'id': 5560, 'name': 'Carlos Alberto Vela Garrido'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 11}]}",Real Sociedad,210,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,58ed27a0-e888-415a-bcee-1e9103d00fd7,3,,,,3825875,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Villarreal,222,['f681781b-7497-4357-8a87-a70af6bd56a4'],0,,,,,,,,,,,,,,,,,,Villarreal,222,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,f681781b-7497-4357-8a87-a70af6bd56a4,4,,,,3825875,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Villarreal,222,['58ed27a0-e888-415a-bcee-1e9103d00fd7'],0,,,,,,,,,,,,,,,,,,Real Sociedad,210,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,bf7ab63d-9052-4576-b760-b70d18241db0,1841,,,,3825875,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,98,Villarreal,222,['897f1b17-adc3-4dcf-bd21-9c5bca9e7e2d'],0,,,,,,,,,,,,,,,,,,Villarreal,222,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,897f1b17-adc3-4dcf-bd21-9c5bca9e7e2d,1842,,,,3825875,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,98,Villarreal,222,['bf7ab63d-9052-4576-b760-b70d18241db0'],0,,,,,,,,,,,,,,,,,,Real Sociedad,210,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.479425,,,,,,,,,,,,,,11e40e72-3ce2-4fad-8c9f-4f1a872e06b8,5,,,"[61.0, 40.1]",3825875,0,,,,,2.1910458,,Left Foot,,,,"[60.0, 41.5]",Ground Pass,,1.7204651,,,,,Roberto Soldado Rillo,26009.0,,,,Kick Off,1,From Kick Off,Cédric Bakambu,6862.0,Left Center Forward,2,Villarreal,222,['3e7bfdfb-8a6a-4133-a987-011659da437e'],0,,,,,,,,,,,,,,,,,,Villarreal,222,00:00:00.230,Pass,
,,,,,,,,,,,,,,,,,1.061476,,,,,,,,,,,,,,64160e81-37ed-4806-a247-1207cbf8281c,8,,,"[60.0, 41.5]",3825875,0,,,,,-2.9927027,,Right Foot,,,,"[54.0, 40.6]",Ground Pass,,6.0671244,,,,,Bruno Soriano Llido,22819.0,,,,,1,From Kick Off,Roberto Soldado Rillo,26009.0,Right Center Forward,2,Villarreal,222,['f8fa6243-8b1c-4072-b368-570caa7a44a1'],0,,,,,,,,,,,,,,,,,,Villarreal,222,00:00:00.886,Pass,
,,,,,,,,,,,,,,,,,1.836841,,,,,,,,,,,,,,17c57706-5c4e-4b33-95d8-fc46f17aeb76,12,,,"[56.3, 44.5]",3825875,0,,,,,1.9500965,,Left Foot,,,,"[44.9, 73.1]",Ground Pass,,30.78831,,,,,Mario Gaspar Pérez Martínez,6772.0,,,,,1,From Kick Off,Bruno Soriano Llido,22819.0,Right Defensive Midfield,2,Villarreal,222,"['27317428-bbcb-47cd-a93b-2c192655a538', '6ddaee49-2853-47fb-97a6-376c591ac73c']",3,,,,,,,,,,,,,,,,,,Villarreal,222,00:00:03.717,Pass,True
,,,,,,,,,,,,,,,,,5.98922,,,,,,,,,,,,,,d1bd15f0-32d8-4b63-9e89-27597d05062e,15,,,"[46.1, 68.9]",3825875,0,,,,,0.21888113,,Left Foot,,,,"[96.0, 80.0]",High Pass,,51.119663,,,Out,,Roberto Soldado Rillo,26009.0,,,,,1,From Kick Off,Mario Gaspar Pérez Martínez,6772.0,Right Back,2,Villarreal,222,['fea6e2c6-61a7-4a7e-a574-8af371261fc0'],7,,,,,,,,,,,,,,,,,,Villarreal,222,00:00:07.164,Pass,
