bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,12835287-dd54-41f9-95e4-d9440483fb74,1,,,,3825737,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Getafe,216,,0,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 6625, 'name': 'Vicente Guaita Panadero'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 13}, {'player': {'id': 6627, 'name': 'Damián Nicolás Suárez Suárez'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 19}, {'player': {'id': 27403, 'name': 'Santiago Vergini'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 5}, {'player': {'id': 6861, 'name': 'Juan Torres Ruiz'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 6}, {'player': {'id': 27092, 'name': 'Abdoul Karim Yoda'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 11}, {'player': {'id': 25881, 'name': 'Juan Antonio Rodríguez Villamuela'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 22}, {'player': {'id': 6745, 'name': 'Mehdi Lacen'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 6720, 'name': 'Pablo Sarabia García'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 10}, {'player': {'id': 15893, 'name': 'Víctor Rodríguez Romero'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 18}, {'player': {'id': 6907, 'name': 'Pedro León Sánchez Gil'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 14}, {'player': {'id': 24035, 'name': 'Álvaro Vázquez García'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Getafe,216,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,7da5a888-16a7-4c93-9e1e-d9a6db5b150e,2,,,,3825737,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Getafe,216,,0,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 6792, 'name': 'Pau López Sabata'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 13}, {'player': {'id': 23974, 'name': 'Roberto Antonio Correa Silva'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 6762, 'name': 'Álvaro González Soberón'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 22}, {'player': {'id': 16456, 'name': 'Enzo Pablo Roco Roco'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 6}, {'player': {'id': 27241, 'name': 'Víctor Guillermo Álvarez Delgado'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 5}, {'player': {'id': 6867, 'name': 'Papa Kouly Diop'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 12}, {'player': {'id': 27148, 'name': 'Abraham González Casanova'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 10}, {'player': {'id': 6838, 'name': 'Hernán Arsenio Pérez González'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 17}, {'player': {'id': 24072, 'name': 'Salvador Sevilla López'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 8}, {'player': {'id': 5719, 'name': 'Marco Asensio Willemsen'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 25}, {'player': {'id': 7781, 'name': 'Felipe Salvador Caicedo Corozo'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 20}]}",Espanyol,214,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,fb193a04-125c-4330-b983-ead026c83f3e,3,,,,3825737,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Getafe,216,['ff04d6f8-3835-493a-891d-5f53010dbd8f'],0,,,,,,,,,,,,,,,,,Getafe,216,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,ff04d6f8-3835-493a-891d-5f53010dbd8f,4,,,,3825737,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Getafe,216,['fb193a04-125c-4330-b983-ead026c83f3e'],0,,,,,,,,,,,,,,,,,Espanyol,214,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,434e1f03-192f-40d7-abdc-0422437b8024,1727,,,,3825737,45,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,83,Espanyol,214,['51a3d48b-c141-46fa-be4f-ee05433a84b8'],0,,,,,,,,,,,,,,,,,Espanyol,214,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,51a3d48b-c141-46fa-be4f-ee05433a84b8,1728,,,,3825737,45,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,83,Espanyol,214,['434e1f03-192f-40d7-abdc-0422437b8024'],0,,,,,,,,,,,,,,,,,Getafe,216,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.77725,,,,,,,,,,,,,169f7ded-0b03-423a-ab90-4690058aa31d,5,,,"[61.0, 40.1]",3825737,0,,True,,,1.3876855,,Right Foot,,,,"[61.5, 42.8]",,Ground Pass,,2.745906,,,,,Víctor Rodríguez Romero,15893.0,,,,,Kick Off,1,From Kick Off,Álvaro Vázquez García,24035.0,Center Forward,2,Getafe,216,['39d66aec-1638-4013-9797-0bc5ed7e6d47'],0,,,,,,,,,,,,,,,,,Getafe,216,00:00:00.973,Pass,
,,,,,,,,,,,,,,,1.759648,,,,,,,,,,,,,779f9769-f18b-49ac-a92a-4f7ea18ba081,7,,,"[58.4, 45.7]",3825737,0,,,,,1.6171916,,Right Foot,,,,"[57.1, 73.7]",,Ground Pass,,28.030163,,,,,Damián Nicolás Suárez Suárez,6627.0,,,,,,1,From Kick Off,Víctor Rodríguez Romero,15893.0,Center Attacking Midfield,2,Getafe,216,['ed22005e-edb8-4ab2-8307-aae138342ddb'],4,,,,,,,,,,,,,,,,,Getafe,216,00:00:04.237,Pass,
,,,,,,,,,,,,,,,1.850818,,,,,,,,,,,,,5b3b5df6-d97c-4438-86ec-400a00a60dfa,10,,,"[64.3, 76.1]",3825737,0,,,,,-0.53650177,,Right Foot,,,,"[94.4, 58.2]",,High Pass,,35.02028,,,Incomplete,,Álvaro Vázquez García,24035.0,,,,,,1,From Kick Off,Damián Nicolás Suárez Suárez,6627.0,Right Back,2,Getafe,216,"['8fe678af-50a8-4c18-a509-450fed490ee0', 'c4d28c6e-690b-4395-9738-7f78558ae8ca']",7,,,,,,,,,,,,,,,,,Getafe,216,00:00:07.934,Pass,
,,,,,,,,,,,,,,,0.875315,,,,,,,,,,,,,8fe678af-50a8-4c18-a509-450fed490ee0,12,,,"[25.7, 21.9]",3825737,0,,,,,-0.12102722,,Head,,,,"[33.1, 21.0]",,Low Pass,,7.454529,,,,,Papa Kouly Diop,6867.0,,,,,Recovery,1,Regular Play,Álvaro González Soberón,6762.0,Right Center Back,3,Espanyol,214,"['585e96f1-b5eb-42c8-9bf6-023dcfe0ba58', '5b3b5df6-d97c-4438-86ec-400a00a60dfa']",9,,,,,,,,,,,,,,,,,Espanyol,214,00:00:09.784,Pass,
