ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,6c300f3a-5925-4ec8-8ca2-17930da1c669,1,,,3754169,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,AFC Bournemouth,28,,0,,,,,,,,,,,,,,,,"{'formation': 4411, 'lineup': [{'player': {'id': 20074, 'name': 'Artur Boruc'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 3608, 'name': 'Simon Francis'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 3341, 'name': 'Steve Cook'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 3}, {'player': {'id': 40218, 'name': 'Sylvain Distin'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 25}, {'player': {'id': 3345, 'name': 'Charlie Daniels'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 11}, {'player': {'id': 3344, 'name': 'Andrew Surman'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 6}, {'player': {'id': 3343, 'name': 'Dan Gosling'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 4}, {'player': {'id': 3049, 'name': 'Matt Ritchie'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 30}, {'player': {'id': 3646, 'name': 'Marc Pugh'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 7}, {'player': {'id': 4738, 'name': 'Lee Tomlin'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 24}, {'player': {'id': 3616, 'name': 'Callum Wilson'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 13}]}",AFC Bournemouth,28,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,94e611f1-51b0-4dac-88ab-0827af07a791,2,,,3754169,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,AFC Bournemouth,28,,0,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 6871, 'name': 'Costel Fane Pantilimon'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 10503, 'name': 'Billy Jones'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 6300, 'name': 'Sebastián Coates Nión'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 22}, {'player': {'id': 4746, 'name': 'Younes Kaboul'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 15}, {'player': {'id': 3321, 'name': 'Patrick van Aanholt'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 4429, 'name': ""Yann Gérard M''Vila""}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 21}, {'player': {'id': 43627, 'name': 'Jordi Gómez García-Penche'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 14}, {'player': {'id': 16457, 'name': 'Jeremain Lens'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 17}, {'player': {'id': 4417, 'name': 'Ola Toivonen'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 20}, {'player': {'id': 7171, 'name': 'Fabio Borini'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 9}, {'player': {'id': 3337, 'name': 'Jermain Defoe'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 18}]}",Sunderland,41,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,5656a120-1a8c-4220-86d2-5ff8c4b7c9c2,3,,,3754169,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,AFC Bournemouth,28,['af418b6c-07f7-4620-b770-32a68e9cb87e'],0,,,,,,,,,,,,,,,,,Sunderland,41,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,af418b6c-07f7-4620-b770-32a68e9cb87e,4,,,3754169,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,AFC Bournemouth,28,['5656a120-1a8c-4220-86d2-5ff8c4b7c9c2'],0,,,,,,,,,,,,,,,,,AFC Bournemouth,28,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,744873c3-91c9-4601-b142-02f6c3421d14,1756,,,3754169,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,111,Sunderland,41,['84d92c4e-a5bc-4086-aba7-dfc2c7a96010'],0,,,,,,,,,,,,,,,,,Sunderland,41,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,84d92c4e-a5bc-4086-aba7-dfc2c7a96010,1757,,,3754169,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,111,Sunderland,41,['744873c3-91c9-4601-b142-02f6c3421d14'],0,,,,,,,,,,,,,,,,,AFC Bournemouth,28,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.478036,,,,,,,,,,,,0f63d6a4-013c-4dfe-b26e-970610873891,5,,"[60.0, 40.0]",3754169,0,,,,,-1.7273982,,Right Foot,,,,"[59.7, 38.1]",,Ground Pass,,1.9235384,,,,,Jordi Gómez García-Penche,43627.0,,,,Kick Off,1,From Kick Off,Jermain Defoe,3337.0,Center Forward,2,Sunderland,41,['d3ad8b26-1cd1-4385-a7fc-e9e6dad0a27d'],0,,,,,,,,,,,,,,,,,Sunderland,41,00:00:00.621,Pass,
,,,,,,,,,,,,,,,1.178733,,,,,,,,,,,,cff1dd9d-bf55-48e9-acfb-9e3bf4f1bce9,7,,"[60.2, 38.1]",3754169,0,,,,,2.8572078,,Left Foot,,,,"[53.7, 40.0]",,Ground Pass,,6.7720013,,,,,Yann Gérard M''Vila,4429.0,,,,,1,From Kick Off,Jordi Gómez García-Penche,43627.0,Left Defensive Midfield,2,Sunderland,41,['b64fed9b-4c5f-41d1-a219-8630bf312d72'],1,,,,,,,,,,,,,,,,,Sunderland,41,00:00:01.099,Pass,
,,,,,,,,,,,,,,,3.44692,,,,,,,,,,,,933fb1ba-5fe8-412e-9c90-d8bd793986d8,9,,"[53.7, 40.0]",3754169,0,,,,,-0.64672923,,Right Foot,,,,"[98.2, 6.4]",,High Pass,,55.760292,,,Incomplete,,,,,,,,1,From Kick Off,Yann Gérard M''Vila,4429.0,Right Defensive Midfield,2,Sunderland,41,['1d598328-abe2-42b9-8689-e67a83730dd1'],2,,,,,,,,,,,,,,,,,Sunderland,41,00:00:02.278,Pass,
,,,,,,,,,,,,,,,1.779686,,,,,,,,,,,,1d598328-abe2-42b9-8689-e67a83730dd1,10,,"[21.9, 73.7]",3754169,0,,,,,-0.024625562,,Head,,,,"[42.2, 73.2]",,High Pass,,20.306156,,,Incomplete,,,,,,,Recovery,1,From Kick Off,Steve Cook,3341.0,Right Center Back,2,Sunderland,41,"['933fb1ba-5fe8-412e-9c90-d8bd793986d8', 'd25acc2c-9f94-4265-b6a0-3ac7bffbae5b']",5,,,,,,,,,,,,,,,,,AFC Bournemouth,28,00:00:05.725,Pass,
,,,,,,,,,,,,,,,1.132083,,,,,,,,,,,,d25acc2c-9f94-4265-b6a0-3ac7bffbae5b,11,,"[77.9, 6.9]",3754169,0,,,,,-0.15808997,,Head,,,,"[91.7, 4.7]",,High Pass,,13.974262,,,Incomplete,,,,,,,Recovery,1,From Kick Off,Jordi Gómez García-Penche,43627.0,Left Defensive Midfield,2,Sunderland,41,"['1d598328-abe2-42b9-8689-e67a83730dd1', 'de9a07fe-da4f-44f6-beb8-15ab39a23357']",7,,,,,,,,,,,,,,,,,Sunderland,41,00:00:07.505,Pass,
,,,,,,,,,,,,,,,1.390563,,,,,,,,,,,,de9a07fe-da4f-44f6-beb8-15ab39a23357,12,,"[28.4, 75.4]",3754169,0,,,,,-0.24642166,,Right Foot,,,,"[44.7, 71.3]",,Low Pass,,16.807735,,,,,Lee Tomlin,4738.0,,,,Recovery,1,Regular Play,Simon Francis,3608.0,Right Back,3,AFC Bournemouth,28,"['607758c4-6964-45ea-9c30-88dfe9e5c5ab', 'd25acc2c-9f94-4265-b6a0-3ac7bffbae5b']",8,,,,,,,,,,,,,,,,,AFC Bournemouth,28,00:00:08.637,Pass,
,,,,,,,,,,,,,,,1.107875,,,,,,,,,,,,83c94836-3b22-416d-a20d-3755f3aa7f52,14,,"[44.7, 71.3]",3754169,0,,,,,-2.8501358,,Right Foot,,,,"[35.7, 68.6]",,Low Pass,,9.3962755,,,,,Andrew Surman,3344.0,,,,,1,Regular Play,Lee Tomlin,4738.0,Center Attacking Midfield,3,AFC Bournemouth,28,['a34427cf-b8bc-4156-b2ab-75dd71d1c57b'],10,,,,,,,,,,,,,,,,,AFC Bournemouth,28,00:00:10.027,Pass,
,,,,,,,,,,,,,,,1.221375,,,,,,,,,,,,e74fa221-996d-4133-9fc7-ca2cd8cd750c,21,,"[28.9, 60.2]",3754169,0,,,,,-3.1089954,,Right Foot,,,,"[19.7, 59.9]",,Ground Pass,,9.20489,,,,,Steve Cook,3341.0,,,,,1,Regular Play,Andrew Surman,3344.0,Right Defensive Midfield,3,AFC Bournemouth,28,['33015f31-8522-40b6-91fc-6827f9647e76'],13,,,,,,,,,,,,,,,,,AFC Bournemouth,28,00:00:13.714,Pass,
,,,,,,,,,,,,,,,1.177392,,,,,,,,,,,,5b177832-aeee-42f9-980f-f98c88bbd9aa,24,,"[27.9, 74.3]",3754169,0,,,,,0.5012643,,Right Foot,,,,"[35.2, 78.3]",,Ground Pass,,8.324061,,,,,Simon Francis,3608.0,,,,,1,Regular Play,Steve Cook,3341.0,Right Center Back,3,AFC Bournemouth,28,['beabb717-e020-4460-9422-ecb15a431310'],16,,,,,,,,,,,,,,,,,AFC Bournemouth,28,00:00:16.905,Pass,
,,,,,,,,,,,,,,,1.401676,,,,,,,,,,,,94406b94-4752-41a4-b1c6-0787a520add9,26,,"[35.2, 78.3]",3754169,0,,,,,-2.9630628,,Right Foot,,,,"[21.9, 75.9]",,Ground Pass,,13.514807,,,,,Steve Cook,3341.0,,,,,1,Regular Play,Simon Francis,3608.0,Right Back,3,AFC Bournemouth,28,['f3707637-4fc8-4f90-9d0f-2fe30cc22e6f'],18,,,,,,,,,,,,,,,,,AFC Bournemouth,28,00:00:18.083,Pass,
,,,,,,,,,,,,,,,2.373194,,,,,,,,,,,,585478e4-3e16-4a00-95e4-23e5da7364bf,29,,"[21.9, 75.9]",3754169,0,,,,,-1.6017941,,Right Foot,,,,"[21.1, 50.1]",,Ground Pass,,25.8124,,,,,Andrew Surman,3344.0,,,,,1,Regular Play,Steve Cook,3341.0,Right Center Back,3,AFC Bournemouth,28,['c34ac992-bf63-45c8-bdb1-e31ca87adce0'],20,,,,,,,,,,,,,,,,,AFC Bournemouth,28,00:00:20.563,Pass,
,,,,,,,,,,,,,,,2.153103,,,,,,,,,,,,08f1ed3a-e25b-4d73-b7b2-6f655d7ce2fb,32,,"[20.0, 44.1]",3754169,0,,,,,-1.2850015,,Left Foot,,,,"[26.2, 23.0]",,Ground Pass,,21.992044,,,,,Sylvain Distin,40218.0,,,,,1,Regular Play,Andrew Surman,3344.0,Right Defensive Midfield,3,AFC Bournemouth,28,['4861ccb1-4c0b-4168-90bd-9ee9cc626924'],23,,,,,,,,,,,,,,,,,AFC Bournemouth,28,00:00:23.995,Pass,
,,,,,,,,,,,,,,,1.566398,,,,,,,,,,,,841f131a-9464-4fa6-8180-afc4e17559dd,35,,"[34.4, 17.8]",3754169,0,,,,,-0.5521837,,Left Foot,,,,"[55.5, 4.8]",,Ground Pass,,24.78326,,,,,Charlie Daniels,3345.0,,,,,1,Regular Play,Sylvain Distin,40218.0,Left Center Back,3,AFC Bournemouth,28,['17b455fe-0a21-4cb6-accf-4ced782c12c6'],28,,,,,,,,,,,,,,,,,AFC Bournemouth,28,00:00:28.185,Pass,
,,,,,,,,,,,,,,,1.39017,,,,,,,,,,,,9db7f005-d985-4bb4-b75e-6578102b6207,38,,"[55.5, 4.8]",3754169,0,,,,,2.9236345,,Left Foot,,,,"[40.6, 8.1]",,Ground Pass,,15.261062,,,,,Sylvain Distin,40218.0,,,,,1,Regular Play,Charlie Daniels,3345.0,Left Back,3,AFC Bournemouth,28,['7ed8c1b1-56f2-41d9-8c3d-39046cc5e141'],30,,,,,,,,,,,,,,,,,AFC Bournemouth,28,00:00:30.110,Pass,
,,,,,,,,,,,,,,,1.86992,,,,,,,,,,,,ac4ef995-6701-4ecc-a9cc-dc004108b373,41,,"[41.2, 9.7]",3754169,0,,,,,1.9496276,,Left Foot,,,,"[28.9, 40.6]",,Ground Pass,,33.258083,,,,,Steve Cook,3341.0,,,,,1,Regular Play,Sylvain Distin,40218.0,Left Center Back,3,AFC Bournemouth,28,['8a2bb9b9-dd9b-40c8-8729-f52965a7db66'],32,,,,,,,,,,,,,,,,,AFC Bournemouth,28,00:00:32.411,Pass,
,,,,,,,,,,,,,,,3.225639,,,,,,,,,,,,de01bf0f-574f-463f-9abf-719e6344ab0a,44,,"[46.3, 62.9]",3754169,0,,,,,0.34757972,,Right Foot,,,,"[93.5, 80.0]",,High Pass,,50.20209,,,Out,,,,,,,,1,Regular Play,Steve Cook,3341.0,Right Center Back,3,AFC Bournemouth,28,,40,,,,,,,,,,,,,,,,,AFC Bournemouth,28,00:00:40.076,Pass,
