ball_receipt_outcome,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_shot_saved_off_target,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_saved_off_target,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,b2f83950-f757-4257-bd98-4196e5ac5031,1,,,3754265,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Arsenal,1,,0,,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 3461, 'name': 'Petr Čech'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 33}, {'player': {'id': 4428, 'name': 'Mathieu Debuchy'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 3475, 'name': 'Per Mertesacker'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 4}, {'player': {'id': 3394, 'name': 'Laurent Koscielny'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 6}, {'player': {'id': 3498, 'name': 'Ignacio Monreal Eraso'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 18}, {'player': {'id': 11386, 'name': 'Santiago Cazorla González'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 19}, {'player': {'id': 3437, 'name': 'Francis Joseph Coquelin'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 34}, {'player': {'id': 5581, 'name': 'Joel Nathaniel Campbell Samuels'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 28}, {'player': {'id': 3496, 'name': 'Mesut Özil'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 11}, {'player': {'id': 3385, 'name': 'Alexis Alejandro Sánchez Sánchez'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 17}, {'player': {'id': 3604, 'name': 'Olivier Giroud'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 12}]}",Arsenal,1,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,c16493c2-81a1-4aba-bd3e-7eac57783516,2,,,3754265,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Arsenal,1,,0,,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 3099, 'name': 'Hugo Lloris'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 3205, 'name': 'Kyle Walker'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 20005, 'name': 'Toby Alderweireld'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 4}, {'player': {'id': 3077, 'name': 'Jan Vertonghen'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 5}, {'player': {'id': 3594, 'name': 'Danny Rose'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 10956, 'name': 'Eric Dier'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 15}, {'player': {'id': 3094, 'name': 'Bamidele Alli'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 20}, {'player': {'id': 3585, 'name': 'Erik Lamela'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 11}, {'player': {'id': 3037, 'name': 'Mousa Sidi Yaya Dembélé'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 19}, {'player': {'id': 3043, 'name': 'Christian Dannemann Eriksen'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 23}, {'player': {'id': 10955, 'name': 'Harry Kane'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 10}]}",Tottenham Hotspur,38,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,3785230a-da3e-4b5a-902c-659f324903cd,3,,,3754265,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Arsenal,1,['0664f245-620b-4d55-822f-19ba6227a542'],0,,,,,,,,,,,,,,,,,,Tottenham Hotspur,38,00:00:00.000,Half Start,
,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,0664f245-620b-4d55-822f-19ba6227a542,4,,,3754265,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Arsenal,1,['3785230a-da3e-4b5a-902c-659f324903cd'],0,,,,,,,,,,,,,,,,,,Arsenal,1,00:00:00.000,Half Start,
,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,fc970835-d864-4109-a648-4e1bff085839,1827,,,3754265,45,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,94,Tottenham Hotspur,38,['7f36beff-85a0-467f-b605-8beb31cf1096'],0,,,,,,,,,,,,,,,,,,Arsenal,1,00:00:00.000,Half Start,
,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,7f36beff-85a0-467f-b605-8beb31cf1096,1828,,,3754265,45,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,94,Tottenham Hotspur,38,['fc970835-d864-4109-a648-4e1bff085839'],0,,,,,,,,,,,,,,,,,,Tottenham Hotspur,38,00:00:00.000,Half Start,
,,,,,,,,,,,,,,0.27324,,,,,,,,,,,,,bf38f461-7af3-4468-a64d-985e043b79ef,5,,"[61.0, 40.1]",3754265,0,,,,,1.7590178,,Right Foot,,,,"[60.6, 42.2]",,Ground Pass,,2.1377559,,,,,Harry Kane,10955.0,,,,,Kick Off,1,From Kick Off,Mousa Sidi Yaya Dembélé,3037.0,Center Attacking Midfield,2,Tottenham Hotspur,38,['69d27a1a-fb9a-4d56-bcf6-00dee1a564da'],0,,,,,,,,,,,,,,,,,,Tottenham Hotspur,38,00:00:00.539,Pass,
,,,,,,,,,,,,,,1.596064,,,,,,,,,,,,,b8c7c538-2e9d-4387-9171-c9814b344c25,8,,"[61.7, 42.5]",3754265,0,,,,,-2.7346828,,Right Foot,,,,"[37.8, 32.2]",,Ground Pass,,26.024988,,,,,Jan Vertonghen,3077.0,,,,,,1,From Kick Off,Harry Kane,10955.0,Center Forward,2,Tottenham Hotspur,38,['6e9a8642-d354-4ff4-9204-fbec3c88b08b'],0,,,,,,,,,,,,,,,,,,Tottenham Hotspur,38,00:00:00.852,Pass,
,,,,,,,,,,,,,,4.640781,,,,,,,,,,,,,35b59113-eaeb-4168-b3e2-4262a0afe372,11,,"[39.3, 31.1]",3754265,0,,,,,0.721371,,Left Foot,,,,"[94.9, 80.0]",,High Pass,,74.04438,,,Out,,,,,True,,,,1,From Kick Off,Jan Vertonghen,3077.0,Left Center Back,2,Tottenham Hotspur,38,,4,,,,,,,,,,,,,,,,,,Tottenham Hotspur,38,00:00:04.434,Pass,
,,,,,,,,,,,,,,1.814478,,,,,,,,,,,,,0e8a233d-72a4-4242-b017-a8183ad55e20,13,,"[28.2, 0.1]",3754265,0,,,,,0.22714332,,,,,,"[49.4, 5.0]",,High Pass,,21.758905,,,,,Olivier Giroud,3604.0,,,,,Throw-in,1,From Throw In,Ignacio Monreal Eraso,3498.0,Left Back,3,Arsenal,1,['1992f41d-5af1-47cd-b3c9-91b12dbe1306'],24,,,,,,,,,,,,,,,,,,Arsenal,1,00:00:24.233,Pass,
