ball_receipt_outcome,ball_recovery_recovery_failure,block_offensive,block_save_block,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_no_touch,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,948fbaef-c545-44a0-af6b-1b05e5a5010e,1,,,,3754195,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,West Bromwich Albion,27,,0,,,,,,,,,,,,,,,"{'formation': 4411, 'lineup': [{'player': {'id': 5108, 'name': 'Glyn Oliver Myhill'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 13}, {'player': {'id': 3523, 'name': 'Craig Dawson'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 25}, {'player': {'id': 3596, 'name': 'Gareth McAuley'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 23}, {'player': {'id': 20527, 'name': 'Jonas Olsson'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 3}, {'player': {'id': 11012, 'name': 'Jonathan Grant Evans'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 6}, {'player': {'id': 4022, 'name': 'Darren Fletcher'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 24}, {'player': {'id': 3967, 'name': 'Claudio Ariel Yacob'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 5}, {'player': {'id': 2966, 'name': 'Stéphane Sessègnon'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 29}, {'player': {'id': 3541, 'name': 'Chris Brunt'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 11}, {'player': {'id': 3490, 'name': 'James Morrison'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 7}, {'player': {'id': 40130, 'name': 'Victor Chinedu Anichebe'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 10}]}",West Bromwich Albion,27,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,831976fb-f797-47a7-a3d4-d90c2808f4c1,2,,,,3754195,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,West Bromwich Albion,27,,0,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 3649, 'name': 'Karl Darlow'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 26}, {'player': {'id': 3650, 'name': 'Daryl Janmaat'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 22}, {'player': {'id': 3044, 'name': 'Chancel Mbemba Mangulu'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 18}, {'player': {'id': 26207, 'name': 'Fabricio Coloccini'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 2}, {'player': {'id': 3065, 'name': 'Paul Dummett'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 16072, 'name': 'Vurnon Anita'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 9649, 'name': 'Jack Colback'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 4}, {'player': {'id': 3091, 'name': 'Moussa Sissoko'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 7}, {'player': {'id': 3567, 'name': 'Georginio Wijnaldum'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 5}, {'player': {'id': 3076, 'name': 'Ayoze Pérez Gutiérrez'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 17}, {'player': {'id': 4269, 'name': 'Aleksandar Mitrović'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 45}]}",Newcastle United,37,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,291ca4b6-3cdf-4978-bb9d-b94db9aaf48e,3,,,,3754195,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,West Bromwich Albion,27,['e14cf14d-0e8e-46b3-a17a-91403871ef0d'],0,,,,,,,,,,,,,,,,West Bromwich Albion,27,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,e14cf14d-0e8e-46b3-a17a-91403871ef0d,4,,,,3754195,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,West Bromwich Albion,27,['291ca4b6-3cdf-4978-bb9d-b94db9aaf48e'],0,,,,,,,,,,,,,,,,Newcastle United,37,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,eee35edf-0119-4640-8082-9098dd2f04c0,1476,,,,3754195,45,,,,,,,,,,,,,,,,,,,,,,,,2,From Corner,,,,88,West Bromwich Albion,27,['6d32a5f2-2265-44ef-bd67-ae47b7266cc0'],0,,,,,,,,,,,,,,,,Newcastle United,37,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,6d32a5f2-2265-44ef-bd67-ae47b7266cc0,1477,,,,3754195,45,,,,,,,,,,,,,,,,,,,,,,,,2,From Corner,,,,88,West Bromwich Albion,27,['eee35edf-0119-4640-8082-9098dd2f04c0'],0,,,,,,,,,,,,,,,,West Bromwich Albion,27,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.523876,,,,,,,,,,,,5b67afce-b3a2-4a78-ba79-7ee971de8391,5,,,"[60.0, 40.0]",3754195,0,,,,,0.5317241,,Right Foot,,,"[61.7, 41.0]",,Ground Pass,,1.9723083,,,James Morrison,3490.0,,,,,Kick Off,1,From Kick Off,Darren Fletcher,4022.0,Right Defensive Midfield,2,West Bromwich Albion,27,['8740e186-4172-44f0-b36c-93dd25bbc785'],1,,,,,,,,,,,,,,,,West Bromwich Albion,27,00:00:01.460,Pass,
,,,,,,,,,,,,,,,,,,0.541094,,,,,,,,,,,,5ea19a28-d623-430b-a246-94f48bf8d9a9,8,,,"[64.0, 41.7]",3754195,0,,,,,1.4111496,,Right Foot,,,"[65.9, 53.5]",,Ground Pass,,11.951987,,,Stéphane Sessègnon,2966.0,,,,,,1,From Kick Off,James Morrison,3490.0,Center Attacking Midfield,2,West Bromwich Albion,27,['0e29a4fa-029c-4c36-b8e2-1724be176467'],2,,,,,,,,,,,,,,,,West Bromwich Albion,27,00:00:02.622,Pass,
,,,,,,,,,,,,,,,,,,1.388923,,,,,,,,,,,,3b01bb50-efde-484a-af4b-01d53acd64d2,12,,,"[66.2, 54.5]",3754195,0,,,,,0.77514213,,Right Foot,,,"[85.9, 73.8]",,Ground Pass,,27.578615,,,Craig Dawson,3523.0,,,,,,1,From Kick Off,Stéphane Sessègnon,2966.0,Right Midfield,2,West Bromwich Albion,27,"['043bb6af-5f41-47a9-b1c7-5a9f307519f3', '8470571d-5d2c-4b35-9f31-21145ed071cd']",4,,,,,,,,,,,,,,,,West Bromwich Albion,27,00:00:04.638,Pass,True
,,,,,,,,,,,,,,,,,,1.763292,,,,,,,,,,,,759e0ef5-d5cb-41a4-9b5f-134e6060542f,16,,,"[97.9, 76.7]",3754195,0,,,,,-1.3639752,,Right Foot,True,,"[107.3, 31.9]",,High Pass,,45.77554,,Incomplete,Victor Chinedu Anichebe,40130.0,,True,,,,1,From Kick Off,Craig Dawson,3523.0,Right Back,2,West Bromwich Albion,27,"['15a504ae-841f-4ca6-9189-4b8687af2cc4', '7c900c3c-89f8-4c9f-890e-a7a9d55206e0', 'a497b30a-bd01-4448-9560-ee5e151d57ad']",8,,,,,,,,,,,,,,,,West Bromwich Albion,27,00:00:08.659,Pass,True
,,,,,,,,,,,,,,,,,,0.920738,,,,,,,,,,,,e4a855eb-2fc1-4a39-8a66-7772c6dfec38,19,,,"[82.9, 41.1]",3754195,0,,,,,1.426642,,Head,,,"[84.7, 53.5]",,High Pass,,12.529964,,,Darren Fletcher,4022.0,,,,,Recovery,1,From Kick Off,Claudio Ariel Yacob,3967.0,Left Defensive Midfield,2,West Bromwich Albion,27,['2b921617-a030-4139-a275-0e0f6b40694a'],12,,,,,,,,,,,,,,,,West Bromwich Albion,27,00:00:12.221,Pass,
,,,,,,,,,,,,,,,,,,2.027241,,,,,,,,,,,,3a594488-996e-41ad-93f3-2ca3bca23638,21,,,"[84.7, 53.5]",3754195,0,,,,,-1.8221735,,Head,,,"[78.1, 27.8]",,High Pass,,26.533941,,Incomplete,Claudio Ariel Yacob,3967.0,,,,,,1,From Kick Off,Darren Fletcher,4022.0,Right Defensive Midfield,2,West Bromwich Albion,27,"['182754ba-b60f-476a-a87a-dbf0b175aa4d', '67f12cf9-b956-4527-a42a-2ddf23e6ef9e']",13,,,,,,,,,,,,,,,,West Bromwich Albion,27,00:00:13.142,Pass,
,,,,,,,,,,,,,,,,,,0.2528,,,,,,,,,,,,588cb902-750b-4618-82ca-5782320deb5d,25,,,"[116.2, 77.4]",3754195,0,,,,,-1.5430257,,Right Foot,,,"[116.3, 73.8]",,Low Pass,,3.6013887,,Incomplete,,,,,,,,1,Regular Play,Moussa Sissoko,3091.0,Right Midfield,3,Newcastle United,37,['289013f0-be7d-4fc3-b2ff-b2defa2abbd8'],25,,,,,,,,,,,,,,,,Newcastle United,37,00:00:25.691,Pass,
,,,,,,,,,,,,,,,,,,0.847367,,,,,,,,,,,,3d940b1a-0998-4a85-ac48-e8193bffa328,27,,,"[94.4, 80.0]",3754195,0,,,,,-0.7022569,,,,,"[99.6, 75.6]",,Low Pass,,6.8117547,,,Moussa Sissoko,3091.0,,,,,Throw-in,1,From Throw In,Daryl Janmaat,3650.0,Right Back,4,Newcastle United,37,['43735fe9-e244-4d30-9d21-8180a156357b'],45,,,,,,,,,,,,,,,,Newcastle United,37,00:00:45.726,Pass,
,,,,,,,,,,,,,,,,,,0.652831,,,,,,,,,,,,7374ef89-ca9d-4456-8f0a-284a614fa64d,30,,,"[98.8, 76.6]",3754195,0,,,,,2.2455373,,Right Foot,,,"[96.4, 79.6]",,Ground Pass,,3.8418746,,,Daryl Janmaat,3650.0,,,,,,1,From Throw In,Moussa Sissoko,3091.0,Right Midfield,4,Newcastle United,37,"['8433e71a-38a5-4ab7-b75d-ab6a076bf8cb', 'dce0a842-0f77-47ff-af6f-cac029099f8c']",46,,,,,,,,,,,,,,,,Newcastle United,37,00:00:46.573,Pass,True
,,,,,,,,,,,,,,,,,,0.343727,,,,,,,,,,,,db1d673f-5bfa-48c7-9efd-1f28f4e87cbf,33,,,"[105.5, 78.4]",3754195,0,,,,,-0.962107,,Right Foot,,,"[110.1, 71.8]",,Low Pass,,8.044874,,Incomplete,,,,,,,,1,From Throw In,Daryl Janmaat,3650.0,Right Back,4,Newcastle United,37,"['8433e71a-38a5-4ab7-b75d-ab6a076bf8cb', 'c4da3446-782f-4392-b4b4-01da9845d1ab']",48,,,,,,,,,,,,,,,,Newcastle United,37,00:00:48.506,Pass,True
,,,,,,,,,,,,,,,,,,2.397803,,,,,,,,,,,,9b7d559a-e172-4246-ab7a-51c709c97d34,35,,,"[26.1, 12.4]",3754195,0,,,,,1.3134726,,Right Foot,,,"[31.1, 31.4]",,High Pass,,19.646883,,Incomplete,Stéphane Sessègnon,2966.0,,,,,Recovery,1,From Throw In,James Morrison,3490.0,Center Attacking Midfield,4,Newcastle United,37,"['1787cbf3-96da-4482-b11f-10add7f3c3fd', '17af33cf-45e7-437d-9380-eac29b153233']",50,,,,,,,,,,,,,,,,West Bromwich Albion,27,00:00:50.686,Pass,
,,,,,,,,,,,,,,,,,,2.170308,,,,,,,,,,,,17af33cf-45e7-437d-9380-eac29b153233,38,,,"[89.0, 48.7]",3754195,0,,,,True,-0.03173537,,,,,"[107.9, 48.1]",,High Pass,,18.909521,,Pass Offside,Aleksandar Mitrović,4269.0,,,,,Recovery,1,From Throw In,Paul Dummett,3065.0,Left Back,4,Newcastle United,37,"['31df1f71-417d-4d6f-874b-ab34a1792900', '7b76e701-2aec-4fe7-9562-85cb848c95cd', '9b7d559a-e172-4246-ab7a-51c709c97d34']",53,,,,,,,,,,,,,,,,Newcastle United,37,00:00:53.083,Pass,True
,,,,,,,,,,,,,,,,,,3.292171,,,,,,,,,,,,ff344cd5-89f1-4922-8751-28fb22f3bee4,40,,,"[13.2, 32.7]",3754195,1,,,,,0.38153836,,Right Foot,,,"[80.0, 59.5]",,High Pass,,71.97555,,,Victor Chinedu Anichebe,40130.0,,,,,Free Kick,1,From Free Kick,Glyn Oliver Myhill,5108.0,Goalkeeper,5,West Bromwich Albion,27,['d1dff7af-e42a-4bf2-bad8-bb32d6e26fb6'],34,,,,,,,,,,,,,,,,West Bromwich Albion,27,00:01:34.545,Pass,
